变量名,unlockLevel,days,delay,cost,wishAward,awards,showAwards
默认值,99,99,99999,{},{},{},<>
ID,解锁城镇等级,持续天数,延迟时间(小时),许愿消耗{货币=数量},许愿奖励{libs=<奖励库ID>},固定奖励{物品=数量},显示奖励<<物品ID;数量>>
10,1,2,0,{8202=2500;8203=2500;gold=12500},{libs=<651;652;653;654>},{gold=800000},<<gold;800000>>
20,1,2,0,{8202=2500;8203=2500;gold=12500},{libs=<651;652;653;654>},{930=30;5000=30},<<5000;30>;<930;30>>
30,2,3,24,{8202=5000;8203=5000;gold=25000},{libs=<651;652;653;654>},{850=60;851=30},<<851;30>;<850;60>>
40,2,3,24,{8202=5000;8203=5000;gold=25000},{libs=<651;652;653;654>},{2102=10;2103=5},<<2103;5>;<2102;10>>
50,3,4,48,{8202=10000;8203=10000;gold=50000},{libs=<651;652;653;654>},{451=100;452=50},<<452;50>;<451;100>>
60,3,4,48,{8202=10000;8203=10000;gold=50000},{libs=<651;652;653;654>},{950=10},<<950;10>>
70,4,5,96,{8202=15000;8203=15000;gold=75000},{libs=<651;652;653;654>},{520=2;4000=200},<<4000;200>;<520;2>>
80,4,5,96,{8202=15000;8203=15000;gold=75000},{libs=<651;652;653;654>},{529=1000;531=2},<<529;1000>;<531;2>>
90,5,6,168,{8202=25000;8203=25000;gold=125000},{libs=<651;652;653;654>},{124=5;537=2},<<124;5>;<537;2>>
100,5,6,168,{8202=25000;8203=25000;gold=125000},{libs=<651;652;653;654>},{541=2;coin17=100},<<coin17;100>;<541;2>>
