变量名,effectLimit,drawType,weightStart,probInit,probStep,probLimit,drawTriggerTimes,probEffectInterval,weightEnd,drawTriggerType,startCount,probMiniTimes,lottery
默认值,0,town_adventure1,0,0,0.01,0.2,0,50,0,0,0,30,{}
ID,生效限制,抽取类型,权重起始,概率初始值,概率步进,概率上限,抽取触发次数,概率生效间隔,权重结束,抽取触发类型,起始计数,概率最小次数,抽奖配置{事件ID=权重}
1,,town_wish_make,,,,,1,,,4,,,{3=1}
2,,town_wish_make,,0.25,0.15,1,,5,,2,2,5,{2=1}
22,1,town_wish_reach,,0.2,0.1,1,,999,,2,3,6,{21=1}
23,1,town_wish_reach,,0.1,0.05,1,,999,,2,9,12,{21=1}
24,1,town_wish_reach,,0.06,0.03,1,,999,,2,20,20,{21=1}
102,,town_wish_reach10,,0.2,0.1,1,,6,,2,3,6,{101=1}
103,,town_wish_reach10,0.01,,,,,,0.06,1,3,,{21=1}
202,,town_wish_reach20,,0.2,0.1,1,,6,,2,3,6,{101=1}
203,,town_wish_reach20,0.01,,,,,,0.06,1,3,,{21=1}
302,,town_wish_reach30,,0.2,0.1,1,,6,,2,3,6,{101=1}
303,,town_wish_reach30,0.015,,,,,,0.09,1,3,,{21=1}
402,,town_wish_reach40,,0.2,0.1,1,,6,,2,3,6,{101=1}
403,,town_wish_reach40,0.015,,,,,,0.09,1,3,,{21=1}
502,,town_wish_reach50,,0.2,0.1,1,,6,,2,3,6,{101=1}
503,,town_wish_reach50,0.02,,,,,,0.12,1,3,,{21=1}
602,,town_wish_reach60,,0.2,0.1,1,,6,,2,3,6,{101=1}
603,,town_wish_reach60,0.02,,,,,,0.12,1,3,,{21=1}
702,,town_wish_reach70,,0.2,0.1,1,,6,,2,3,6,{101=1}
703,,town_wish_reach70,0.025,,,,,,0.15,1,3,,{21=1}
802,,town_wish_reach80,,0.2,0.1,1,,6,,2,3,6,{101=1}
803,,town_wish_reach80,0.025,,,,,,0.15,1,3,,{21=1}
902,,town_wish_reach90,,0.2,0.1,1,,6,,2,3,6,{101=1}
903,,town_wish_reach90,0.03,,,,,,0.18,1,3,,{21=1}
1002,,town_wish_reach100,,0.2,0.1,1,,6,,2,3,6,{101=1}
1003,,town_wish_reach100,0.03,,,,,,0.18,1,3,,{21=1}
1102,,town_wish_reach110,,0.2,0.1,1,,6,,2,3,6,{101=1}
1103,,town_wish_reach110,0.035,,,,,,0.21,1,3,,{21=1}
1202,,town_wish_reach120,,0.2,0.1,1,,6,,2,3,6,{101=1}
1203,,town_wish_reach120,0.040833333,,,,,,0.245,1,3,,{21=1}
