变量名,eventType,lotterType,param2,name,desc,weight,param1
默认值,0,0,"""""","""""","""""",0,{}
ID,事件类型,抽奖类型,参数2,事件名称,事件描述,权重,参数1{奖励配置}
1,1,1,,事件1,事件1,50,{gold=100000;libs=<112>}
2,1,1,,事件2,事件2,50,{gold=80000;libs=<112>}
3,1,1,,事件2,事件2,50,{gold=50000;libs=<112>}
21,2,2,50%,事件3,事件3,100,
22,2,2,100%,事件4,事件4,50,
23,3,2,,事件5,事件5,50,
31,3,3,,事件5,事件5,50,
100,,10,,事件1,事件1,100,{}
201,1,21,,是…河神嘛？,不用选金斧子银斧子，以下奖励都归你！,50,{521=3;gold=2000000;rmb=200}
202,1,21,,是…河神嘛？,不用选金斧子银斧子，以下奖励都归你！,50,{59003=5;gold=2000000;rmb=200}
203,1,21,,是…河神嘛？,不用选金斧子银斧子，以下奖励都归你！,50,{541=5;gold=2000000;rmb=200}
204,1,21,,是…河神嘛？,不用选金斧子银斧子，以下奖励都归你！,50,{537=5;gold=2000000;rmb=200}
1101,4,101,,好事成双,那就…再次实现你的愿望吧！,100,
