变量名,name,name_tw,name_en,name_vn,name_kr,icon,type,arg,nums,levelMax,upCost,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc2,desc2_tw,desc2_en,desc2_vn,desc2_kr
默认值,"""""","""""","""""","""""","""""","""""",0,0,<>,10,{},"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,技能名字,技能名字,技能名字,技能名字_越南,技能名字_韩,技能图标,技能类型,参数(增对4类型配置对应的yyID),技能数值,最大等级,升级消耗,技能描述,技能描述,技能描述,技能描述_越南,技能描述_韩,技能描述2,技能描述2,技能描述2,技能描述2_越南,技能描述2_韩
,,,,,,,,,,,,,,,,,,,,,
1,理财新手,理財新手,Finance Novice,404404,?? ?? ???,city/develop/train/icon_jbfbzj.png,12,0,<1>,1,{453=50},聚宝,聚寶,Treasure Pot,T? b?o,????,每日免费次数+%d,每日免費次數+%d,Free daily chances +%d,404404,?? ?? ??+%d
2,探险意志,探險意志,Exploration Will,404404,??? ??,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=20},剧情副本,劇情副本,Story dungeon,404404,??? ??,获得金币+%d,獲得金幣+%d,Coins +%d ,404404,?? ?? ??+%d
3,龙虾吃饱,龍蝦吃飽,Full Lobster,404404,??? ??? ??,city/develop/train/icon_tllq.png,14,3,<2;4;6;8;10>,5,{453=30},宝芙蕾（晚餐）,寶芙蕾（晚餐）,Dinner,404404,???(??),领取体力额外+%d,領取體力額外+%d,Claim energy+%d,404404,?? ?? ??+%d
4,理财顾问,理財顧問,Financial Consultant,404404,?? ?? ??,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=30},聚宝,聚寶,Treasure Pot,T? b?o,????,获得金币+%d,獲得金幣+%d,Coins +%d ,404404,?? ?? ??+%d
5,精致佳肴,精緻佳餚,Exquisite Food,404404,??? ??,city/develop/train/icon_tllq.png,14,2,<2;4;6;8;10>,5,{453=35},宝芙蕾（午餐）,寶芙蕾（午餐）,Lunch,404404,???(??),领取体力额外+%d,領取體力額外+%d,Claim energy+%d,404404,?? ?? ??+%d
6,精英队员,精英隊員,Elite member,404404,?? ??,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=35},困难关卡,困難關卡,Elite Dungeon,404404,?? ????,获得金币+%d,獲得金幣+%d,Coins +%d ,404404,?? ?? ??+%d
7,魔术手,魔術手,Magical Hands,404404,???,city/develop/train/icon_ck.png,11,0,<1>,1,{453=60},金币抽卡,金幣抽卡,Coin Card Draw,Kim t? rút th?,???? ??,每日免费次数+%d,每日免費次數+%d,Free daily chances +%d,404404,?? ?? ??+%d
8,回口血,回口血,Recover some HP,404404,HP ??,city/develop/train/icon_qfqn.png,2,0,<3;6;9;12;15>,5,{453=40},体力上限,體力上限,Maximum energy,Th? l?c h?n m?c cao nh?t,?? ??,增加+%d,增加+%d,Increases +%d,404404,??+%d
9,金融专家,金融專家,Finance Expert,404404,?? ???,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=40},聚宝,聚寶,Treasure Pot,T? b?o,????,获得金币+%d,獲得金幣+%d,Coins +%d ,404404,?? ?? ??+%d
10,探险队员,探險隊員,Explorer Member,404404,?? ??,city/develop/train/icon_ptfbzj.png,15,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},金币副本,金幣副本,Coin dungeon,Kim t? phó b?n,?? ?? ??,获得金币+%d,獲得金幣+%d,Coins +%d ,404404,?? ?? ??+%d
