变量名,name,name_tw,name_en,name_kr,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_kr
默认值,"""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称_韩,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍_韩
1,妙蛙花,妙蛙花,Venusaur,????,1000,{19=2;932=20;5000=20},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},妙蛙花似乎获得了更强的能力,妙蛙花似乎獲得了更強的能力,Venusaur seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
2,喷火龙,噴火龍,Charizard,???,1001,{519=1;932=20;5000=20},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},喷火龙似乎获得了更强的能力,噴火龍似乎獲得了更強的能力,Charizard seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
3,水箭龟,水箭龜,Blastoise,???,1002,{502=1;932=25;5000=25},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},水箭龟似乎获得了更强的能力,水箭龜似乎獲得了更強的能力,Blastoise seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
4,胡地,胡地,Alakazam,??,1003,{rmb=100;932=25;5000=25},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},胡地似乎获得了更强的能力,胡地似乎獲得了更強的能力,Alakazam seems to have gotten more powerful,??? ? ?? ??? ??? ? ??.
5,妖火红狐,妖火紅狐,Delphox,???,1004,{501=1;932=30;5000=30},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},妖火红狐似乎获得了更强的能力,妖火紅狐似乎獲得了更強的能力,Delphox seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
6,甲贺忍蛙,甲賀忍蛙,Greninja,????,1005,{19=2;932=30;5000=30},{951=1;932=10;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},甲贺忍蛙似乎获得了更强的能力,甲賀忍蛙似乎獲得了更強的能力,Greninja seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
7,电击魔兽,電擊魔獸,Electivire,????,1006,{519=1;932=35;5000=35},{951=1;932=15;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},电击魔兽似乎获得了更强的能力,電擊魔獸似乎獲得了更強的能力,Electivire seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
8,耿鬼,耿鬼,Gengar,??,1007,{502=1;932=35;5000=35},{951=1;932=15;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},耿鬼似乎获得了更强的能力,耿鬼似乎獲得了更強的能力,Gengar seems to have gotten more powerful,??? ? ?? ??? ??? ? ??.
9,暴鲤龙,暴鯉龍,Gyarados,????,1008,{rmb=100;932=40;5000=40},{951=1;932=15;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},暴鲤龙似乎获得了更强的能力,暴鯉龍似乎獲得了更強的能力,Gyarados seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
10,快龙,快龍,Dragonite,???,1009,{501=1;932=40;5000=40},{951=1;932=15;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},快龙似乎获得了更强的能力,快龍似乎獲得了更強的能力,Dragonite seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
