变量名,level,skillID,cost,attrValue
默认值,0,1,{coin3=100},""""""
修炼ID,当前等级,技能ID,升级消耗公会币,当前等级加成
,,,,
1,,,{coin3=100},0
2,1,,{coin3=120},200
3,2,,{coin3=140},400
4,3,,{coin3=160},600
5,4,,{coin3=180},800
6,5,,{coin3=200},1000
7,6,,{coin3=220},1200
8,7,,{coin3=240},1400
9,8,,{coin3=260},1600
10,9,,{coin3=280},1800
11,10,,{coin3=300},2000
12,11,,{coin3=320},2200
13,12,,{coin3=340},2400
14,13,,{coin3=360},2600
15,14,,{coin3=380},2800
16,15,,{coin3=400},3000
17,16,,{coin3=420},3200
18,17,,{coin3=440},3400
19,18,,{coin3=460},3600
20,19,,{coin3=480},3800
21,20,,{coin3=500},4000
22,21,,{coin3=520},4200
23,22,,{coin3=540},4400
24,23,,{coin3=560},4600
25,24,,{coin3=580},4800
26,25,,{coin3=600},5000
27,26,,{coin3=620},5200
28,27,,{coin3=640},5400
29,28,,{coin3=660},5600
30,29,,{coin3=680},5800
31,30,,{coin3=700},6000
32,31,,{coin3=720},6200
33,32,,{coin3=740},6400
34,33,,{coin3=760},6600
35,34,,{coin3=780},6800
36,35,,{coin3=800},7000
37,36,,{coin3=820},7200
38,37,,{coin3=840},7400
39,38,,{coin3=860},7600
40,39,,{coin3=880},7800
41,40,,{coin3=900},8000
42,41,,{coin3=920},8200
43,42,,{coin3=940},8400
44,43,,{coin3=960},8600
45,44,,{coin3=980},8800
46,45,,{coin3=1000},9000
47,46,,{coin3=1020},9200
48,47,,{coin3=1040},9400
49,48,,{coin3=1060},9600
50,49,,{coin3=1080},9800
51,50,,{coin3=1120},10000
52,51,,{coin3=1160},10200
53,52,,{coin3=1200},10400
54,53,,{coin3=1240},10600
55,54,,{coin3=1280},10800
56,55,,{coin3=1320},11000
57,56,,{coin3=1360},11200
58,57,,{coin3=1400},11400
59,58,,{coin3=1440},11600
60,59,,{coin3=1480},11800
61,60,,{coin3=1520},12000
101,,2,{coin3=100},0
102,1,2,{coin3=120},40
103,2,2,{coin3=140},80
104,3,2,{coin3=160},120
105,4,2,{coin3=180},160
106,5,2,{coin3=200},200
107,6,2,{coin3=220},240
108,7,2,{coin3=240},280
109,8,2,{coin3=260},320
110,9,2,{coin3=280},360
111,10,2,{coin3=300},400
112,11,2,{coin3=320},440
113,12,2,{coin3=340},480
114,13,2,{coin3=360},520
115,14,2,{coin3=380},560
116,15,2,{coin3=400},600
117,16,2,{coin3=420},640
118,17,2,{coin3=440},680
119,18,2,{coin3=460},720
120,19,2,{coin3=480},760
121,20,2,{coin3=500},800
122,21,2,{coin3=520},840
123,22,2,{coin3=540},880
124,23,2,{coin3=560},920
125,24,2,{coin3=580},960
126,25,2,{coin3=600},1000
127,26,2,{coin3=620},1040
128,27,2,{coin3=640},1080
129,28,2,{coin3=660},1120
130,29,2,{coin3=680},1160
131,30,2,{coin3=700},1200
132,31,2,{coin3=720},1240
133,32,2,{coin3=740},1280
134,33,2,{coin3=760},1320
135,34,2,{coin3=780},1360
136,35,2,{coin3=800},1400
137,36,2,{coin3=820},1440
138,37,2,{coin3=840},1480
139,38,2,{coin3=860},1520
140,39,2,{coin3=880},1560
141,40,2,{coin3=900},1600
142,41,2,{coin3=920},1640
143,42,2,{coin3=940},1680
144,43,2,{coin3=960},1720
145,44,2,{coin3=980},1760
146,45,2,{coin3=1000},1800
147,46,2,{coin3=1020},1840
148,47,2,{coin3=1040},1880
149,48,2,{coin3=1060},1920
150,49,2,{coin3=1080},1960
151,50,2,{coin3=1120},2000
152,51,2,{coin3=1160},2040
153,52,2,{coin3=1200},2080
154,53,2,{coin3=1240},2120
155,54,2,{coin3=1280},2160
156,55,2,{coin3=1320},2200
157,56,2,{coin3=1360},2240
158,57,2,{coin3=1400},2280
159,58,2,{coin3=1440},2320
160,59,2,{coin3=1480},2360
161,60,2,{coin3=1520},2400
201,,3,{coin3=100},0
202,1,3,{coin3=120},40
203,2,3,{coin3=140},80
204,3,3,{coin3=160},120
205,4,3,{coin3=180},160
206,5,3,{coin3=200},200
207,6,3,{coin3=220},240
208,7,3,{coin3=240},280
209,8,3,{coin3=260},320
210,9,3,{coin3=280},360
211,10,3,{coin3=300},400
212,11,3,{coin3=320},440
213,12,3,{coin3=340},480
214,13,3,{coin3=360},520
215,14,3,{coin3=380},560
216,15,3,{coin3=400},600
217,16,3,{coin3=420},640
218,17,3,{coin3=440},680
219,18,3,{coin3=460},720
220,19,3,{coin3=480},760
221,20,3,{coin3=500},800
222,21,3,{coin3=520},840
223,22,3,{coin3=540},880
224,23,3,{coin3=560},920
225,24,3,{coin3=580},960
226,25,3,{coin3=600},1000
227,26,3,{coin3=620},1040
228,27,3,{coin3=640},1080
229,28,3,{coin3=660},1120
230,29,3,{coin3=680},1160
231,30,3,{coin3=700},1200
232,31,3,{coin3=720},1240
233,32,3,{coin3=740},1280
234,33,3,{coin3=760},1320
235,34,3,{coin3=780},1360
236,35,3,{coin3=800},1400
237,36,3,{coin3=820},1440
238,37,3,{coin3=840},1480
239,38,3,{coin3=860},1520
240,39,3,{coin3=880},1560
241,40,3,{coin3=900},1600
242,41,3,{coin3=920},1640
243,42,3,{coin3=940},1680
244,43,3,{coin3=960},1720
245,44,3,{coin3=980},1760
246,45,3,{coin3=1000},1800
247,46,3,{coin3=1020},1840
248,47,3,{coin3=1040},1880
249,48,3,{coin3=1060},1920
250,49,3,{coin3=1080},1960
251,50,3,{coin3=1120},2000
252,51,3,{coin3=1160},2040
253,52,3,{coin3=1200},2080
254,53,3,{coin3=1240},2120
255,54,3,{coin3=1280},2160
256,55,3,{coin3=1320},2200
257,56,3,{coin3=1360},2240
258,57,3,{coin3=1400},2280
259,58,3,{coin3=1440},2320
260,59,3,{coin3=1480},2360
261,60,3,{coin3=1520},2400
301,,4,{coin3=100},0
302,1,4,{coin3=120},20
303,2,4,{coin3=140},40
304,3,4,{coin3=160},60
305,4,4,{coin3=180},80
306,5,4,{coin3=200},100
307,6,4,{coin3=220},120
308,7,4,{coin3=240},140
309,8,4,{coin3=260},160
310,9,4,{coin3=280},180
311,10,4,{coin3=300},200
312,11,4,{coin3=320},220
313,12,4,{coin3=340},240
314,13,4,{coin3=360},260
315,14,4,{coin3=380},280
316,15,4,{coin3=400},300
317,16,4,{coin3=420},320
318,17,4,{coin3=440},340
319,18,4,{coin3=460},360
320,19,4,{coin3=480},380
321,20,4,{coin3=500},400
322,21,4,{coin3=520},420
323,22,4,{coin3=540},440
324,23,4,{coin3=560},460
325,24,4,{coin3=580},480
326,25,4,{coin3=600},500
327,26,4,{coin3=620},520
328,27,4,{coin3=640},540
329,28,4,{coin3=660},560
330,29,4,{coin3=680},580
331,30,4,{coin3=700},600
332,31,4,{coin3=720},620
333,32,4,{coin3=740},640
334,33,4,{coin3=760},660
335,34,4,{coin3=780},680
336,35,4,{coin3=800},700
337,36,4,{coin3=820},720
338,37,4,{coin3=840},740
339,38,4,{coin3=860},760
340,39,4,{coin3=880},780
341,40,4,{coin3=900},800
342,41,4,{coin3=920},820
343,42,4,{coin3=940},840
344,43,4,{coin3=960},860
345,44,4,{coin3=980},880
346,45,4,{coin3=1000},900
347,46,4,{coin3=1020},920
348,47,4,{coin3=1040},940
349,48,4,{coin3=1060},960
350,49,4,{coin3=1080},980
351,50,4,{coin3=1120},1000
352,51,4,{coin3=1160},1020
353,52,4,{coin3=1200},1040
354,53,4,{coin3=1240},1060
355,54,4,{coin3=1280},1080
356,55,4,{coin3=1320},1100
357,56,4,{coin3=1360},1120
358,57,4,{coin3=1400},1140
359,58,4,{coin3=1440},1160
360,59,4,{coin3=1480},1180
361,60,4,{coin3=1520},1200
401,,5,{coin3=100},0
402,1,5,{coin3=120},20
403,2,5,{coin3=140},40
404,3,5,{coin3=160},60
405,4,5,{coin3=180},80
406,5,5,{coin3=200},100
407,6,5,{coin3=220},120
408,7,5,{coin3=240},140
409,8,5,{coin3=260},160
410,9,5,{coin3=280},180
411,10,5,{coin3=300},200
412,11,5,{coin3=320},220
413,12,5,{coin3=340},240
414,13,5,{coin3=360},260
415,14,5,{coin3=380},280
416,15,5,{coin3=400},300
417,16,5,{coin3=420},320
418,17,5,{coin3=440},340
419,18,5,{coin3=460},360
420,19,5,{coin3=480},380
421,20,5,{coin3=500},400
422,21,5,{coin3=520},420
423,22,5,{coin3=540},440
424,23,5,{coin3=560},460
425,24,5,{coin3=580},480
426,25,5,{coin3=600},500
427,26,5,{coin3=620},520
428,27,5,{coin3=640},540
429,28,5,{coin3=660},560
430,29,5,{coin3=680},580
431,30,5,{coin3=700},600
432,31,5,{coin3=720},620
433,32,5,{coin3=740},640
434,33,5,{coin3=760},660
435,34,5,{coin3=780},680
436,35,5,{coin3=800},700
437,36,5,{coin3=820},720
438,37,5,{coin3=840},740
439,38,5,{coin3=860},760
440,39,5,{coin3=880},780
441,40,5,{coin3=900},800
442,41,5,{coin3=920},820
443,42,5,{coin3=940},840
444,43,5,{coin3=960},860
445,44,5,{coin3=980},880
446,45,5,{coin3=1000},900
447,46,5,{coin3=1020},920
448,47,5,{coin3=1040},940
449,48,5,{coin3=1060},960
450,49,5,{coin3=1080},980
451,50,5,{coin3=1120},1000
452,51,5,{coin3=1160},1020
453,52,5,{coin3=1200},1040
454,53,5,{coin3=1240},1060
455,54,5,{coin3=1280},1080
456,55,5,{coin3=1320},1100
457,56,5,{coin3=1360},1120
458,57,5,{coin3=1400},1140
459,58,5,{coin3=1440},1160
460,59,5,{coin3=1480},1180
461,60,5,{coin3=1520},1200
501,,6,{coin3=150},0
502,1,6,{coin3=180},0.20%
503,2,6,{coin3=210},0.40%
504,3,6,{coin3=240},0.60%
505,4,6,{coin3=270},0.80%
506,5,6,{coin3=300},1%
507,6,6,{coin3=330},1.20%
508,7,6,{coin3=360},1.40%
509,8,6,{coin3=390},1.60%
510,9,6,{coin3=420},1.80%
511,10,6,{coin3=450},2%
512,11,6,{coin3=480},2.20%
513,12,6,{coin3=510},2.40%
514,13,6,{coin3=540},2.60%
515,14,6,{coin3=570},2.80%
516,15,6,{coin3=600},3%
517,16,6,{coin3=630},3.20%
518,17,6,{coin3=660},3.40%
519,18,6,{coin3=690},3.60%
520,19,6,{coin3=720},3.80%
521,20,6,{coin3=750},4%
522,21,6,{coin3=780},4.20%
523,22,6,{coin3=810},4.40%
524,23,6,{coin3=840},4.60%
525,24,6,{coin3=870},4.80%
526,25,6,{coin3=900},5%
527,26,6,{coin3=930},5.20%
528,27,6,{coin3=960},5.40%
529,28,6,{coin3=990},5.60%
530,29,6,{coin3=1020},5.80%
531,30,6,{coin3=1050},6%
532,31,6,{coin3=1080},6.20%
533,32,6,{coin3=1110},6.40%
534,33,6,{coin3=1140},6.60%
535,34,6,{coin3=1170},6.80%
536,35,6,{coin3=1200},7%
537,36,6,{coin3=1230},7.20%
538,37,6,{coin3=1260},7.40%
539,38,6,{coin3=1290},7.60%
540,39,6,{coin3=1320},7.80%
541,40,6,{coin3=1350},8%
542,41,6,{coin3=1380},8.20%
543,42,6,{coin3=1410},8.40%
544,43,6,{coin3=1440},8.60%
545,44,6,{coin3=1470},8.80%
546,45,6,{coin3=1500},9%
547,46,6,{coin3=1530},9.20%
548,47,6,{coin3=1560},9.40%
549,48,6,{coin3=1590},9.60%
550,49,6,{coin3=1620},9.80%
551,50,6,{coin3=1680},10%
552,51,6,{coin3=1740},10.20%
553,52,6,{coin3=1800},10.40%
554,53,6,{coin3=1860},10.60%
555,54,6,{coin3=1920},10.80%
556,55,6,{coin3=1980},11%
557,56,6,{coin3=2040},11.20%
558,57,6,{coin3=2100},11.40%
559,58,6,{coin3=2160},11.60%
560,59,6,{coin3=2220},11.80%
561,60,6,{coin3=2280},12%
601,,7,{coin3=150},0
602,1,7,{coin3=180},0.20%
603,2,7,{coin3=210},0.40%
604,3,7,{coin3=240},0.60%
605,4,7,{coin3=270},0.80%
606,5,7,{coin3=300},1%
607,6,7,{coin3=330},1.20%
608,7,7,{coin3=360},1.40%
609,8,7,{coin3=390},1.60%
610,9,7,{coin3=420},1.80%
611,10,7,{coin3=450},2%
612,11,7,{coin3=480},2.20%
613,12,7,{coin3=510},2.40%
614,13,7,{coin3=540},2.60%
615,14,7,{coin3=570},2.80%
616,15,7,{coin3=600},3%
617,16,7,{coin3=630},3.20%
618,17,7,{coin3=660},3.40%
619,18,7,{coin3=690},3.60%
620,19,7,{coin3=720},3.80%
621,20,7,{coin3=750},4%
622,21,7,{coin3=780},4.20%
623,22,7,{coin3=810},4.40%
624,23,7,{coin3=840},4.60%
625,24,7,{coin3=870},4.80%
626,25,7,{coin3=900},5%
627,26,7,{coin3=930},5.20%
628,27,7,{coin3=960},5.40%
629,28,7,{coin3=990},5.60%
630,29,7,{coin3=1020},5.80%
631,30,7,{coin3=1050},6%
632,31,7,{coin3=1080},6.20%
633,32,7,{coin3=1110},6.40%
634,33,7,{coin3=1140},6.60%
635,34,7,{coin3=1170},6.80%
636,35,7,{coin3=1200},7%
637,36,7,{coin3=1230},7.20%
638,37,7,{coin3=1260},7.40%
639,38,7,{coin3=1290},7.60%
640,39,7,{coin3=1320},7.80%
641,40,7,{coin3=1350},8%
642,41,7,{coin3=1380},8.20%
643,42,7,{coin3=1410},8.40%
644,43,7,{coin3=1440},8.60%
645,44,7,{coin3=1470},8.80%
646,45,7,{coin3=1500},9%
647,46,7,{coin3=1530},9.20%
648,47,7,{coin3=1560},9.40%
649,48,7,{coin3=1590},9.60%
650,49,7,{coin3=1620},9.80%
651,50,7,{coin3=1680},10%
652,51,7,{coin3=1740},10.20%
653,52,7,{coin3=1800},10.40%
654,53,7,{coin3=1860},10.60%
655,54,7,{coin3=1920},10.80%
656,55,7,{coin3=1980},11%
657,56,7,{coin3=2040},11.20%
658,57,7,{coin3=2100},11.40%
659,58,7,{coin3=2160},11.60%
660,59,7,{coin3=2220},11.80%
661,60,7,{coin3=2280},12%
