变量名,name
默认值,""""""
ID,精灵名称
1,妙蛙种子
2,妙蛙草
3,妙蛙花
4,超级妙蛙花
11,小火龙
12,火恐龙
13,喷火龙
14,超级喷火龙X
15,超级喷火龙Y
21,杰尼龟
22,卡咪龟
23,水箭龟
24,超级水箭龟
31,绿毛虫
33,巴大蝶
43,大针蜂
44,超级大针蜂
51,波波
52,比比鸟
53,大比鸟
61,小拉达
62,拉达
71,烈雀
72,大嘴雀
81,阿柏蛇
82,阿柏怪
91,皮丘
92,皮卡丘
93,雷丘
101,穿山鼠
102,穿山王
111,尼多兰
112,尼多娜
113,尼多后
121,尼多朗
122,尼多力诺
123,尼多王
131,皮宝宝
132,皮皮
133,皮可西
151,宝宝丁
152,胖丁
153,胖可丁
171,走路草
172,臭臭花
173,霸王花
191,毛球
192,摩鲁蛾
221,可达鸭
222,哥达鸭
231,猴怪
232,火暴猴
241,卡蒂狗
242,风速狗
261,凯西
262,勇基拉
263,胡地
264,超级胡地
271,腕力
272,豪力
273,怪力
281,喇叭芽
282,口呆花
283,大食花
301,小拳石
302,隆隆石
303,隆隆岩
331,小磁怪
332,三合一磁怪
333,自爆磁怪
341,大葱鸭
351,嘟嘟
352,嘟嘟利
371,臭泥
372,臭臭泥
381,大舌贝
382,刺甲贝
391,鬼斯
392,鬼斯通
393,耿鬼
394,超级耿鬼
401,大岩蛇
402,大钢蛇
403,超级大钢蛇
451,卡拉卡拉
452,嘎啦嘎啦
461,无畏小子
462,飞腿郎
463,快拳郎
464,战舞郎
471,大舌头
472,大舌舔
481,瓦斯弹
482,双弹瓦斯
491,独角犀牛
492,钻角犀兽
493,超甲狂犀
541,角金鱼
542,金鱼王
551,海星星
552,宝石海星
571,飞天螳螂
572,巨钳螳螂
591,电击怪
592,电击兽
593,电击魔兽
601,鸭嘴宝宝
602,鸭嘴火兽
603,鸭嘴炎兽
632,暴鲤龙
641,拉普拉斯
691,化石盔
692,镰刀盔
701,化石翼龙
711,小卡比兽
712,卡比兽
721,急冻鸟
731,闪电鸟
741,火焰鸟
751,迷你龙
752,哈克龙
753,快龙
761,超梦
771,梦幻
781,菊草叶
782,月桂叶
783,大竺葵
791,火球鼠
792,火岩鼠
793,火暴兽
801,小锯鳄
802,蓝鳄
803,大力鳄
881,咩利羊
882,茸茸羊
883,电龙
891,露力丽
892,玛力露
893,玛力露丽
1071,赫拉克罗斯
1081,狃拉
1082,玛狃拉
1171,戴鲁比
1172,黑鲁加
1221,雷公
1231,炎帝
1241,水君
1251,幼基拉斯
1252,沙基拉斯
1253,班基拉斯
1261,洛奇亚
1271,凤王
1291,木守宫
1292,森林蜥蜴
1293,蜥蜴王
1301,火稚鸡
1302,力壮鸡
1303,火焰鸡
1311,水跃鱼
1312,沼跃鱼
1313,巨沼怪
1351,莲叶童子
1352,莲帽小童
1353,乐天河童
1391,拉鲁拉丝
1392,奇鲁莉安
1393,沙奈朵
1394,艾路雷朵
1421,懒人獭
1422,过动猿
1423,请假王
1441,咕妞妞
1442,吼爆弹
1443,爆音怪
1501,可可多拉
1502,可多拉
1503,波士可多拉
1611,呆火驼
1612,喷火驼
1801,怨影娃娃
1802,诅咒娃娃
1811,夜巡灵
1812,彷徨夜灵
1813,黑夜魔灵
1841,阿勃梭鲁
1851,雪童子
1852,冰鬼护
1853,雪妖女
1861,海豹球
1862,海魔狮
1863,帝牙海狮
1891,宝贝龙
1892,甲壳龙
1893,暴飞龙
1901,铁哑铃
1902,金属怪
1903,巨金怪
1911,雷吉洛克
1921,雷吉艾斯
1931,雷吉斯奇鲁
1941,拉帝亚斯
1951,拉帝欧斯
1961,盖欧卡
1971,固拉多
1981,裂空座
2011,草苗龟
2012,树林龟
2013,土台龟
2071,小猫怪
2072,勒克猫
2073,伦琴猫
2231,圆陆鲨
2232,尖牙陆鲨
2233,烈咬陆鲨
2241,利欧路
2242,路卡利欧
2271,不良蛙
2272,毒骷蛙
2301,雪笠怪
2302,暴雪王
2303,超级暴雪王
2351,帝牙卢卡
2361,帕路奇亚
2381,雷吉奇卡斯
2391,骑拉帝纳
2392,骑拉帝纳·起源
2431,达克莱伊
2441,谢米·陆地
2442,谢米·天空
2471,藤藤蛇
2472,青藤蛇
2473,君主蛇
2481,暖暖猪
2482,炒炒猪
2483,炎武王
2591,石丸子
2592,地幔岩
2593,庞岩怪
2611,螺钉地鼠
2612,龙头地鼠
2631,搬运小匠
2632,铁骨土人
2633,修建老匠
2681,百足蜈蚣
2682,车轮球
2683,蜈蚣王
2721,黑眼鳄
2722,混混鳄
2723,流氓鳄
2821,索罗亚
2822,索罗亚克
2841,哥德宝宝
2842,哥德小童
2843,哥德小姐
2871,迷你冰
2872,多多冰
2873,双倍多多冰
2891,电飞鼠
2921,轻飘飘·雌
2922,轻飘飘·雄
2923,胖嘟嘟·雌
2924,胖嘟嘟·雄
2961,齿轮儿
2962,齿轮组
2963,齿轮怪
2991,烛光灵
2992,灯火幽灵
2993,水晶灯火灵
3001,牙牙
3002,斧牙龙
3003,双斧战龙
3011,喷嚏熊
3012,冻原熊
3021,几何雪花
3141,单首龙
3142,双首暴龙
3143,三首恶龙
3151,燃烧虫
3152,火神蛾
3221,捷克罗姆
