变量名,version,giftLevelLimit,giftReset,gift,compensation,oldPrice,vipLevel,newPrice
默认值,0,0,0,{},{},,0,
ID,版本,礼包等级限制,礼包重置,礼包内容,补偿,原价,VIP等级,现价
,,,,,,,,
101,,,,{5000=10;5001=5;5002=5;5003=5;gold=100000},,680,1,18
102,,,,{gold=100000;522=3;13=30;517=5;100=5},,1080,2,68
103,,,,{gold=200000;501=2;23301=50;13=30},,2880,3,280
104,,,,{gold=200000;19=10;13=30;23301=100},,4880,4,480
105,,,,{232=1;gold=200000;13=30;202=1},,6880,5,680
106,,,,{23301=150;gold=200000;13=30},,8880,6,880
107,,,,{2221=1;card={id=1303};gold=200000;13=30;2004=1},,12880,7,1280
108,,,,{203=1;gold=200000;2103=30;223=1;13=30},,16880,8,1680
109,,,,{21301=100;gold=200000;6100=1;13=30;902=20},,22800,9,2280
110,,,,{14=10;233=1;213=1;30315=1;902=20;gold=300000},,26800,10,2680
111,,,,{21301=100;gold=300000;2216=1;902=40;14=10},,33800,11,3380
112,,,,{14=10;gold=300000;501=10;card={id=761};902=60;2006=1},,48800,12,4880
113,,,,{14=10;gold=500000;221=1;201=1;902=100;20761=160},,68800,13,6880
114,,,,{231=1;gold=500000;6101=1;211=1;20761=160;902=200},,108800,14,10880
115,,,,{30401=1;2213=1;gold=1000000;521=240;14=10;902=300},,208800,15,20880
116,,,,{6106=1;521=80;501=20;6102=1;902=300;gold=3000000},,308800,16,18880
117,,,,{gold=5000000;2103=300;2153=3;6107=1;902=300;521=160},,408800,17,20880
118,,,,{994=10;gold=8000000;521=240;529=20000;902=300;604=100},,508800,18,26880
119,,,,{gold=88880000;171=100;172=100;173=1;6118=1;6220=3;9003=1},,888888,19,188888
120,,,,{521=1888;705=10;703=10;6071=2000;2153=5;967=50;133=888;2103=5888;2266=1;31101=1},,999999,20,588888
,,,,,,,,
201,1,,1,{5000=10;5001=5;5002=5;5003=5;gold=100000},,680,1,18
202,1,,1,{gold=100000;522=3;13=30;517=5;100=5},,1080,2,68
203,1,,1,{gold=200000;501=2;23301=50;13=30},,2880,3,280
204,1,,1,{gold=200000;19=10;13=30;23301=100},,4880,4,480
205,1,,1,{232=1;gold=200000;13=30;202=1},,6880,5,680
206,1,,1,{23301=150;gold=200000;13=30},,8880,6,880
207,1,,1,{2221=1;card={id=1303};gold=200000;13=30;2004=1},,12880,7,1280
208,1,,1,{203=1;gold=200000;2103=30;223=1;13=30},,16880,8,1680
209,1,,1,{21301=100;gold=200000;6100=1;13=30;902=20},,22800,9,2280
210,1,,1,{14=10;233=1;213=1;30315=1;902=20;gold=300000},,26800,10,2680
211,1,,1,{21301=100;gold=300000;2216=1;902=40;14=10},,33800,11,3380
212,1,,1,{14=10;gold=300000;501=10;card={id=761};902=60;2006=1},,48800,12,4880
213,1,,1,{14=10;gold=500000;221=1;201=1;902=100;20761=160},,68800,13,6880
214,1,,1,{231=1;gold=500000;6101=1;211=1;20761=160;902=200},,108800,14,10880
215,1,,,{30401=1;2213=1;gold=1000000;521=240;14=10;902=300},,208800,15,20880
216,1,,1,{6106=1;521=80;501=20;6102=1;902=300;gold=3000000},,308800,16,18880
217,1,,1,{gold=5000000;2103=300;2153=3;6107=1;902=300;521=160},,408800,17,20880
218,1,,1,{994=10;gold=8000000;521=240;529=20000;902=300;604=100},,508800,18,26880
219,1,,1,{gold=88880000;171=100;172=100;173=1;6118=1;6220=3;9003=1},,888888,19,188888
220,1,,1,{521=1888;705=10;703=10;6071=2000;2153=5;967=50;133=888;2103=5888;2266=1;31101=1},,999999,20,588888
301,2,,1,{5000=10;5001=5;5002=5;5003=5;gold=100000},,680,1,18
302,2,,1,{gold=100000;522=3;13=30;517=5;100=5},,1080,2,68
303,2,,1,{gold=200000;501=2;23301=50;13=30},,2880,3,280
304,2,,1,{gold=200000;19=10;13=30;23301=100},,4880,4,480
305,2,,1,{232=1;gold=200000;13=30;202=1},,6880,5,680
306,2,,1,{23301=150;gold=200000;13=30},,8880,6,880
307,2,,1,{2221=1;card={id=1303};gold=200000;13=30;2004=1},,12880,7,1280
308,2,,1,{203=1;gold=200000;2103=30;223=1;13=30},,16880,8,1680
309,2,,1,{21301=100;gold=200000;6100=1;13=30;902=20},,22800,9,2280
310,2,,1,{14=10;233=1;213=1;30315=1;902=20;gold=300000},,26800,10,2680
311,2,,1,{21301=100;gold=300000;2216=1;902=40;14=10},,33800,11,3380
312,2,,1,{14=10;gold=300000;501=10;card={id=761};902=60;2006=1},,48800,12,4880
313,2,,1,{14=10;gold=500000;221=1;201=1;902=100;20761=160},,68800,13,6880
314,2,,1,{231=1;gold=500000;6101=1;211=1;20761=160;902=200},,108800,14,10880
315,2,,,{30401=1;2213=1;gold=1000000;521=240;14=10;902=300},,208800,15,20880
316,2,,1,{6106=1;521=80;501=20;6102=1;902=300;gold=3000000},,308800,16,18880
317,2,,1,{gold=5000000;2103=300;2153=3;6107=1;902=300;521=160},,408800,17,20880
318,2,,1,{994=10;gold=8000000;521=240;529=20000;902=300;604=100},,508800,18,26880
319,2,,,{gold=88880000;171=100;172=100;173=1;6118=1;6220=3;9003=1},,888888,19,188888
320,2,,,{521=1888;705=10;703=10;6071=2000;2153=5;967=50;133=888;2103=5888;2266=1;31101=1},,999999,20,588888
400,3,,,{5000=10;5001=5;5002=5;5003=5;gold=100000},,680,1,18
401,3,,,{gold=100000;522=3;13=30;517=5;100=5},,1080,2,68
402,3,,,{gold=200000;501=2;23301=50;13=30},,2880,3,280
403,3,,,{gold=200000;19=10;13=30;23301=100},,4880,4,480
404,3,,,{232=1;gold=200000;13=30;202=1},,6880,5,680
405,3,,,{23301=150;gold=200000;13=30},,8880,6,880
406,3,,,{2221=1;card={id=1303};gold=200000;13=30;2004=1},,12880,7,1280
407,3,,,{203=1;gold=200000;2103=30;223=1;13=30},,16880,8,1680
408,3,,,{21301=100;gold=200000;6100=1;13=30;902=20},,22800,9,2280
409,3,,,{14=10;233=1;213=1;30315=1;902=20;gold=300000},,26800,10,2680
410,3,,,{21301=100;gold=300000;2216=1;902=40;14=10},,33800,11,3380
411,3,,,{14=10;gold=300000;501=10;card={id=761};902=60;2006=1},,48800,12,4880
412,3,,,{14=10;gold=500000;221=1;201=1;902=100;20761=160},,68800,13,6880
413,3,,,{231=1;gold=500000;6101=1;211=1;20761=160;902=200},,108800,14,10880
414,3,,,{30401=1;2213=1;gold=1000000;521=240;14=10;902=300},,208800,15,20880
415,3,,,{6106=1;521=80;501=20;6102=1;902=300;gold=3000000},,308800,16,18880
416,3,,,{gold=5000000;2103=300;2153=3;6107=1;902=300;521=160},,408800,17,20880
417,3,,,{994=10;gold=8000000;521=240;529=20000;902=300;604=100},,508800,18,26880
418,3,,,{gold=88880000;171=100;172=100;173=1;6118=1;6220=3;9003=1},,888888,19,188888
419,3,,,{521=1888;705=10;703=10;6071=2000;2153=5;967=50;133=888;2103=5888;2266=1;31101=1},,999999,20,588888
