变量名,limitTimes,limitType,vipStart,sortValue,showUnable,endDate,beginDate,regainHour,exchangeLimit,itemMap,costMap,levelRange,languages
默认值,0,0,0,0,FALSE,20990101,0,0,-1,{},{},<1;150>,<cn;tw;en;en_us;en_eu;kr>
ID,限购次数,限购类型,VIP起始等级,排序值,显示不可用,结束日期,开始日期,恢复小时,兑换限制,物品列表,花费列表,等级范围,语言区域
,,,,,,,,,,,,,
101,1,3,18,,,,,,,{21261=1},{coin22=120},<300;300>,<cn>
102,1,3,18,,,,,,,{23151=3},{coin22=75},<300;300>,<cn>
103,1,3,18,,,,,,,{21031=3},{coin22=75},<300;300>,<cn>
104,1,3,18,,,,,,,{502=1},{coin22=75},<300;300>,<cn>
105,1,3,18,,,,,,,{21941=3},{coin22=60},<300;300>,<cn>
106,1,3,18,,,,,,,{28504=1},{coin22=50},<300;300>,<cn>
107,1,3,18,,,,,,,{21951=3},{coin22=60},<300;300>,<cn>
108,1,3,18,,,,,,,{20971=3},{coin22=60},<300;300>,<cn>
109,1,3,18,,,,,,,{talent_point=1},{coin22=75},<300;300>,<cn>
110,1,3,18,,,,,,,{23201=3},{coin22=80},<300;300>,<cn>
111,1,3,18,,,,,,,{28505=1},{coin22=220},<300;300>,<cn>
112,1,3,18,,,,,,,{529=500},{coin22=90},<300;300>,<cn>
113,1,3,18,,,,,,,{514=60},{coin22=20},<300;300>,<cn>
114,1,3,18,,,,,,,{514=15},{coin22=5},<300;300>,<cn>
115,1,3,18,,,,,,,{15=10},{coin22=15},<300;300>,<cn>
116,1,3,18,,,,,,,{15=2},{coin22=13},<300;300>,<cn>
117,1,3,18,,,,,,,{111=100},{coin22=20},<300;300>,<cn>
118,1,3,18,,,,,,,{112=20},{coin22=30},<300;300>,<cn>
119,1,3,18,,,,,,,{5000=20},{coin22=20},<300;300>,<cn>
1010,50,3,18,,,,,,,{gold=10000000},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1020,50,3,18,,,,,,,{rmb=8888},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1030,30,3,18,,,,,,,{500=10},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1510,30,3,18,,,,,,,{521=18},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1520,30,3,18,,,,,,,{605=100;603=100},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1530,30,3,18,,,,,,,{19=5},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1540,30,3,18,,,,,,,{452=288},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1550,30,3,18,,,,,,,{451=588},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
1560,30,3,18,,,,,,,{100=88},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2010,30,3,18,,,,,,,{851=200},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2020,30,3,18,,,,,,,{850=400},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2030,30,3,18,,,,,,,{6071=20},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2040,30,3,18,,,,,,,{4000=888},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2050,30,3,18,,,,,,,{453=200},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2060,30,3,18,,,,,,,{talent_point=2},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2070,30,3,18,,,,,,,{151=888},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2080,30,3,18,,,,,,,{152=20},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2090,30,3,18,,,,,,,{132=10},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2100,30,3,18,,,,,,,{133=5},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2110,30,3,18,,,,,,,{142=158},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2120,30,3,18,,,,,,,{124=88},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2130,30,3,18,,,,,,,{529=5000},{coin22=188},<1;150>,<cn;tw;en;en_us;kr>
2140,10,3,18,,,,,,,{962=10},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2150,5,3,18,,,,,,,{963=5},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2160,10,3,18,,,,,,,{701=5},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2170,5,3,18,,,,,,,{702=1},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2180,10,3,18,,,,,,,{7362=5},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2190,5,3,18,,,,,,,{7363=1},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2200,10,3,18,,,,,,,{8804=15},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2210,5,3,18,,,,,,,{8805=4},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2220,10,3,18,,,,,,,{7325=2},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2230,10,3,18,,,,,,,{994=1},{coin22=528},<1;150>,<cn;tw;en;en_us;kr>
2240,10,3,18,,,,,,,{925=1},{coin22=1288},<1;150>,<cn;tw;en;en_us;kr>
2250,5,3,18,,,,,,,{6220=1},{coin22=1888},<1;150>,<cn;tw;en;en_us;kr>
2260,3,3,18,,,,,,,{2153=1},{coin22=2588},<1;150>,<cn;tw;en;en_us;kr>
