变量名,upgradeType2,upgradeType1,advanced,upgradeCondition1,upgradeCondition2,skillId,iconRes,natureType,effectRes,describe,name
默认值,0,0,0,{},{},,,,,,
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
,,,,,,,,,,,
,,,,,,,,,,,
11,,,,,,19610,battle/weather_icon/icon_yutian.png,3,weather/yutian.skel,己方水系技能和水元素类伤害效果提升10%，水系精灵提升10%抗暴，且每大回合开始驱散1层负面效果（优先灼烧类效果）,雨天
12,,,,,,19710,battle/weather_icon/icon_rizhao.png,2,weather/rizhao.skel,己方火系技能和火元素类伤害效果提升10%，火系精灵暴击、暴击伤害提升10%,日照
13,,,,,,24410,battle/weather_icon/icon_qinglang.png,4,weather/qinglang.skel,己方草系精灵治疗率提升20%，且行动回合前恢复5%最大血量,晴朗
14,,,,,,23030,battle/weather_icon/icon_xuetian.png,6,weather/xuehua.skel,己方冰系精灵反弹率和冰系伤害提升5%;己方【冰冻】概率提升10%,降雪
15,,,,,,70310,battle/weather_icon/icon_shabao.png,13,weather/shabao.skel,己方岩、地系精灵双防提升20%，被动伤害提升10%,沙暴
16,,,,,,71310,battle/weather_icon/icon_baoxue.png,6,weather/baoxue.skel,己方冰系精灵反弹率、冰系伤害和被动伤害减免提升10%;己方【冰冻】概率提升20%,暴雪
20,,,,,,19810,battle/weather_icon/icon_qizha.png,10,weather/luanliu.skel,特殊天气，双方所有普通天气效果会暂时失效,气闸
21,,,1,,,19620,battle/weather_icon/icon_dayutian.png,3,weather/dayutian.skel,己方水系技能和水元素类伤害效果提升15%，水系精灵提升10%抗暴，且每大回合开始驱散2层负面效果（优先灼烧类效果），敌方非水系精灵速度降低6%,大雨天
22,,,1,,,19720,battle/weather_icon/icon_darizhao.png,2,weather/darizhao.skel,己方火系技能和火元素类伤害效果提升15%，火系精灵暴击、暴击伤害提升10%，火系受到克制伤害降低15%,大日照
23,2,1,1,{4=3},{1972=1},24419,battle/weather_icon/icon_daqingtian.png,4,weather/daqingtian.skel,己方草系精灵治疗率提升30%，且行动回合前恢复10%最大血量；敌方目标受到缠绕时，天气释放者吸取其100%物攻/特攻的生命,大晴天
25,,2,1,{3632=1},,70319,battle/weather_icon/icon_shenshengshabao.png,13,weather/shenshengshabao.skel,己方岩、地系精灵双防提升30%，被动伤害提升15%，每回合首次攻击额外造成30万神圣伤害,神圣沙暴
26,2,2,1,{3242=1},{3243=1},71319,battle/weather_icon/icon_bingxuebao.png,6,weather/bingxuebao.skel,己方冰系精灵反弹率、冰系伤害和被动伤害减免提升15%，主动行动降下冰雹，对1名敌方造成120%物攻/特攻冰元素伤害;己方【冰冻】概率提升25%,冰雪暴
30,,,,,,19820,battle/weather_icon/icon_luanliu.png,10,weather/luanliu.skel,双方所有天气效果会暂时失效；己方飞行系精灵提升6%速度和15%闪避（电系精灵无视乱流闪避），受到属性克制效果降低50%,乱流
41,,,,,,19820,battle/weather_icon/icon_luanliu.png,10,weather/luanliu.skel,飞行系精灵速度提升\n每个大回合结束每个精灵有几率被【吹飞】，非飞行系精灵落地时会损失一定生命值,飓风
42,,,,,,,battle/weather_icon/icon_wutian.png,18,weather/nongwu.skel,全体降低大量命中率,浓雾
43,,,,,,,battle/weather_icon/icon_yewan.png,14,weather/yewan.skel,非幽灵、恶系精灵伤害降低；\n幽灵系精灵免疫物攻伤害；\n恶系精灵必杀抗性大幅提升,黑夜
44,,,,,,,battle/weather_icon/icon_leiyu.png,5,weather/leiyu.skel,电系技能伤害提升\n每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】,雷雨
