变量名,huodongID,_beizhu,rank,award,desc
默认值,,,,{},无奖励吗
ID,活动版本号,备注,名次内,排行奖励,奖励描述
1,1001,天赋点,1,{rmb=5888;452=188;16=188},世界BOSS奖励
2,1001,天赋点,2,{rmb=2888;452=128;16=128},世界BOSS奖励
3,1001,天赋点,3,{rmb=1888;452=88;16=88},世界BOSS奖励
4,1001,天赋点,6,{gold=80000;452=58;16=58},世界BOSS奖励
5,1001,天赋点,10,{gold=50000;452=58;16=58},世界BOSS奖励
6,1001,天赋点,30,{gold=30000;452=28;16=28},世界BOSS奖励
7,1001,天赋点,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
101,1002,携带,1,{rmb=5888;452=188;16=188},世界BOSS奖励
102,1002,携带,2,{rmb=2888;452=128;16=128},世界BOSS奖励
103,1002,携带,3,{rmb=1888;452=88;16=88},世界BOSS奖励
104,1002,携带,6,{gold=80000;452=58;16=58},世界BOSS奖励
105,1002,携带,10,{gold=50000;452=58;16=58},世界BOSS奖励
106,1002,携带,30,{gold=30000;452=28;16=28},世界BOSS奖励
107,1002,携带,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
201,1003,潜能,1,{rmb=5888;452=188;16=188},世界BOSS奖励
202,1003,潜能,2,{rmb=2888;452=128;16=128},世界BOSS奖励
203,1003,潜能,3,{rmb=1888;452=88;16=88},世界BOSS奖励
204,1003,潜能,6,{gold=80000;452=58;16=58},世界BOSS奖励
205,1003,潜能,10,{gold=50000;452=58;16=58},世界BOSS奖励
206,1003,潜能,30,{gold=30000;452=28;16=28},世界BOSS奖励
207,1003,潜能,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
301,1004,努力币,1,{rmb=5888;452=188;16=188},世界BOSS奖励
302,1004,努力币,2,{rmb=2888;452=128;16=128},世界BOSS奖励
303,1004,努力币,3,{rmb=1888;452=88;16=88},世界BOSS奖励
304,1004,努力币,6,{gold=80000;452=58;16=58},世界BOSS奖励
305,1004,努力币,10,{gold=50000;452=58;16=58},世界BOSS奖励
306,1004,努力币,30,{gold=30000;452=28;16=28},世界BOSS奖励
307,1004,努力币,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
401,1005,天赋点,1,{rmb=5888;452=188;16=188},世界BOSS奖励
402,1005,天赋点,2,{rmb=2888;452=128;16=128},世界BOSS奖励
403,1005,天赋点,3,{rmb=1888;452=88;16=88},世界BOSS奖励
404,1005,天赋点,6,{gold=80000;452=58;16=58},世界BOSS奖励
405,1005,天赋点,10,{gold=50000;452=58;16=58},世界BOSS奖励
406,1005,天赋点,30,{gold=30000;452=28;16=28},世界BOSS奖励
407,1005,天赋点,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
501,1006,携带,1,{rmb=5888;452=188;16=188},世界BOSS奖励
502,1006,携带,2,{rmb=2888;452=128;16=128},世界BOSS奖励
503,1006,携带,3,{rmb=1888;452=88;16=88},世界BOSS奖励
504,1006,携带,6,{gold=80000;452=58;16=58},世界BOSS奖励
505,1006,携带,10,{gold=50000;452=58;16=58},世界BOSS奖励
506,1006,携带,30,{gold=30000;452=28;16=28},世界BOSS奖励
507,1006,携带,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
601,1007,潜能,1,{rmb=5888;452=188;16=188},世界BOSS奖励
602,1007,潜能,2,{rmb=2888;452=128;16=128},世界BOSS奖励
603,1007,潜能,3,{rmb=1888;452=88;16=88},世界BOSS奖励
604,1007,潜能,6,{gold=80000;452=58;16=58},世界BOSS奖励
605,1007,潜能,10,{gold=50000;452=58;16=58},世界BOSS奖励
606,1007,潜能,30,{gold=30000;452=28;16=28},世界BOSS奖励
607,1007,潜能,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
701,1008,努力币,1,{rmb=5888;452=188;16=188},世界BOSS奖励
702,1008,努力币,2,{rmb=2888;452=128;16=128},世界BOSS奖励
703,1008,努力币,3,{rmb=1888;452=88;16=88},世界BOSS奖励
704,1008,努力币,6,{gold=80000;452=58;16=58},世界BOSS奖励
705,1008,努力币,10,{gold=50000;452=58;16=58},世界BOSS奖励
706,1008,努力币,30,{gold=30000;452=28;16=28},世界BOSS奖励
707,1008,努力币,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
801,1009,天赋点,1,{rmb=5888;452=188;16=188},世界BOSS奖励
802,1009,天赋点,2,{rmb=2888;452=128;16=128},世界BOSS奖励
803,1009,天赋点,3,{rmb=1888;452=88;16=88},世界BOSS奖励
804,1009,天赋点,6,{gold=80000;452=58;16=58},世界BOSS奖励
805,1009,天赋点,10,{gold=50000;452=58;16=58},世界BOSS奖励
806,1009,天赋点,30,{gold=30000;452=28;16=28},世界BOSS奖励
807,1009,天赋点,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
901,1010,携带,1,{rmb=5888;452=188;16=188},世界BOSS奖励
902,1010,携带,2,{rmb=2888;452=128;16=128},世界BOSS奖励
903,1010,携带,3,{rmb=1888;452=88;16=88},世界BOSS奖励
904,1010,携带,6,{gold=80000;452=58;16=58},世界BOSS奖励
905,1010,携带,10,{gold=50000;452=58;16=58},世界BOSS奖励
906,1010,携带,30,{gold=30000;452=28;16=28},世界BOSS奖励
907,1010,携带,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
1001,1011,潜能,1,{rmb=5888;452=188;16=188},世界BOSS奖励
1002,1011,潜能,2,{rmb=2888;452=128;16=128},世界BOSS奖励
1003,1011,潜能,3,{rmb=1888;452=88;16=88},世界BOSS奖励
1004,1011,潜能,6,{gold=80000;452=58;16=58},世界BOSS奖励
1005,1011,潜能,10,{gold=50000;452=58;16=58},世界BOSS奖励
1006,1011,潜能,30,{gold=30000;452=28;16=28},世界BOSS奖励
1007,1011,潜能,999,{gold=10000;452=8;16=8},世界BOSS奖励
,,,,,
1101,1012,努力币,1,{rmb=5888;452=188;16=188},世界BOSS奖励
1102,1012,努力币,2,{rmb=2888;452=128;16=128},世界BOSS奖励
1103,1012,努力币,3,{rmb=1888;452=88;16=88},世界BOSS奖励
1104,1012,努力币,6,{gold=80000;452=58;16=58},世界BOSS奖励
1105,1012,努力币,10,{gold=50000;452=58;16=58},世界BOSS奖励
1106,1012,努力币,30,{gold=30000;452=28;16=28},世界BOSS奖励
1107,1012,努力币,999,{gold=10000;452=8;16=8},世界BOSS奖励
