变量名,huodongID,mainItem,minorItem,compoundItem,desc,desc_tw,desc_en,desc_vn,desc_kr
默认值,0,{},{},{},"""""","""""","""""","""""",""""""
ID,活动版本ID,主料道具,配料道具,合成道具,功能描述,功能描述,功能描述,功能描述,功能描述
1,1001,{6352=1},{6355=1},{6358=1},（带有桂花香气的龙舟粽）,（帶有桂花香氣的龍舟粽）,404,404,404
2,1001,{6352=1},{6356=1},{6358=1},（有着绵密蛋黄的龙舟粽）,（有著綿密蛋黃的龍舟粽）,404,404,404
3,1001,{6352=1},{6357=1},{6358=1},（附带板栗甜香的龙舟粽）,（附帶板栗甜香的龍舟粽）,404,404,404
4,1001,{6353=1},{6355=1},{6359=1},（鲜肉与桂花组合的口味）,（鮮肉與桂花組合的口味）,404,404,404
5,1001,{6353=1},{6356=1},{6360=1},,,,,
6,1001,{6353=1},{6357=1},{6361=1},,,,,
7,1001,{6354=1},{6356=1},{6359=1},（蜜枣与蛋黄组合的口味）,（蜜棗與蛋黃組合的口味）,404,404,404
8,1001,{6354=1},{6357=1},{6362=1},,,,,
9,1001,{6354=1},{6355=1},{6363=1},,,,,
,,,,,,,,,
10,1002,{6352=1},{6355=1},{6358=1},（带有桂花香气的龙舟粽）,（帶有桂花香氣的龍舟粽）,404,404,404
11,1002,{6352=1},{6356=1},{6358=1},（有着绵密蛋黄的龙舟粽）,（有著綿密蛋黃的龍舟粽）,404,404,404
12,1002,{6352=1},{6357=1},{6358=1},（附带板栗甜香的龙舟粽）,（附帶板栗甜香的龍舟粽）,404,404,404
13,1002,{6353=1},{6355=1},{6359=1},（鲜肉与桂花组合的口味）,（鮮肉與桂花組合的口味）,404,404,404
14,1002,{6353=1},{6356=1},{6360=1},,,,,
15,1002,{6353=1},{6357=1},{6361=1},,,,,
16,1002,{6354=1},{6356=1},{6359=1},（蜜枣与蛋黄组合的口味）,（蜜棗與蛋黃組合的口味）,404,404,404
17,1002,{6354=1},{6357=1},{6362=1},,,,,
18,1002,{6354=1},{6355=1},{6363=1},,,,,
