变量名,huodongID,_beizhu,name,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages,clientParam,idLimit
默认值,0,"""""","""""",10,1,{},-1,-1,0,FALSE,0,activity/direct_gift/icon_cjbx1.png,"""""",100,<cn;tw;en;vn;th;kr>,{},0
ID,活动版本ID,备注,名字,次数限制,等级限制,道具id,recharge表id,钻石售卖价格,礼包排序字段,刷新方式（是否每日刷新）,礼包状态：0永久限购、1每周限购，2每月限购,礼包的icon,促销标签,原价,语言区域,礼包的icon,链式解锁前置ID
1,23001,开服礼包1,开服礼包1,2,,{rmb=60;stamina=100;gold=50000;12=10},,0,,TRUE,,,,,,,
2,23001,每日礼包A,每日礼包A,1,,{452=30;451=100},,100,,TRUE,,,,,,,
3,23001,开服礼包2,开服礼包2,5,,{520=10;4000=100},,200,,,1,,,,,,
4,23001,每日礼包B,每日礼包B,1,,{503=20;941=1},,300,,TRUE,,,,,,,
5,23001,开服礼包3,开服礼包3,1,,{2103=50;gold=200000},105,,,,2,,,,,,
6,23001,每日礼包C,每日礼包C,2,,{card={id=9002};gold=150000;13=20},106,,,TRUE,,,,,,,
7,23001,每日礼包D,每日礼包D,2,,{gold=300000;rmb=5000;16=5},107,,,TRUE,,,,,,,
8,23001,开服礼包4,开服礼包4,5,,{14=3;15=200},108,,,,,,,,,,
,,,,,,,,,,,,,,,,,
101,23101,成长礼包-6元-限购一次,成长礼包,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,,,
102,23101,饰品成长礼包-30元-限购一次,饰品礼包,1,,{501=3;100=5;930=10;13=10},106,,,,,activity/direct_gift/icon_cjbx7.png,,,,,
103,23101,个体值礼包-30元-限购一次,个体值礼包,1,,{rmb=300;19=10;gold=100000;13=10},106,,,,,activity/direct_gift/icon_cjbx5.png,,,,,
104,23101,抽卡礼包-98元-限购一次,抽卡礼包,1,,{519=10;gold=100000;13=20},108,,,,,activity/direct_gift/icon_zjbx6.png,,,,,
105,23101,抽卡礼包-198元-限购一次,豪华抽卡礼包,1,,{519=20;gold=200000;13=30},111,,,,,activity/direct_gift/icon_gjbx8.png,,,,,
,,,,,,,,,,,,,,,,,
111,23102,成长礼包-6元-限购一次,成长礼包,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,,,
112,23102,培养值礼包-30元-限购一次,努力值礼包,1,,{452=30;451=100},106,,,,,activity/direct_gift/icon_cjbx8.png,,,,,
113,23102,探险器礼包-98元-限购一次,探险器礼包,1,,{520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx4.png,,,,,
114,23102,饰品抽卡礼包-98元-限购一次,饰品抽卡礼包,1,,{503=20;941=1},108,,,,,activity/direct_gift/icon_zjbx5.png,,,,,
115,23102,携带强化礼包-198元-限购一次,携带道具强化礼包,1,,{2103=50;gold=200000},111,,,,,activity/direct_gift/icon_gjbx7.png,,,,,
116,23102,升星礼包-328元-限购一次,升星礼包,1,,{card={id=9002};gold=150000;13=20},112,,,,,activity/direct_gift/icon_gjbx6.png,,,,,
,,,,,,,,,,,,,,,,,
121,23103,成长礼包-6元-限购一次,成长礼包,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,,,
122,23103,饰品成长礼包-30元-限购一次,饰品礼包,1,,{501=3;100=5;930=20;13=10},106,,,,,activity/direct_gift/icon_cjbx7.png,,,,,
123,23103,个体值礼包-30元-限购一次,个体值礼包,1,,{19=20;gold=100000;13=10},106,,,,,activity/direct_gift/icon_cjbx6.png,,,,,
124,23103,抽卡礼包-98元-限购一次,抽卡礼包,1,,{519=10;gold=200000;13=20},108,,,,,activity/direct_gift/icon_zjbx6.png,,,,,
125,23103,抽卡礼包-198元-限购一次,豪华抽卡礼包,1,,{519=20;gold=300000;13=30},111,,,,,activity/direct_gift/icon_gjbx8.png,,,,,
,,,,,,,,,,,,,,,,,
131,23104,成长礼包-6元-限购一次,成长礼包,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,,,
132,23104,培养值礼包-30元-限购2次,努力值礼包,2,,{452=50;451=100},106,,,,,activity/direct_gift/icon_cjbx8.png,,,,,
133,23104,探险器礼包-98元-限购一次,探险器礼包,1,,{520=15;4000=100},108,,,,,activity/direct_gift/icon_zjbx4.png,,,,,
134,23104,饰品抽卡礼包-98元-限购一次,饰品抽卡礼包,1,,{503=30;941=1},108,,,,,activity/direct_gift/icon_zjbx5.png,,,,,
135,23104,携带强化礼包-98元-限购2次,携带道具强化礼包,2,,{2103=60;gold=200000},108,,,,,activity/direct_gift/icon_gjbx7.png,,,,,
136,23104,升星礼包-328元-限购一次,升星礼包,1,,{card={id=9002};rmb=2000;13=20},112,,,,,activity/direct_gift/icon_gjbx4.png,,,,,
137,23104,紫携带礼包-328元-限购一次,携带道具礼包,1,,{942=1;rmb=2000;13=20},112,,,,,activity/direct_gift/icon_gjbx5.png,,,,,
,,,,,,,,,,,,,,,,,
140,23105,特惠礼包-免费领取,开服特惠礼包,1,,{rmb=50;519=1;gold=10000},,0,,,,activity/direct_gift/icon_cjbx.png,,,,,
141,23105,特惠礼包-6元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_cjbx1.png,,,,,
142,23105,特惠礼包-6元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=120;519=1;gold=30000},102,,,,,activity/direct_gift/icon_cjbx2.png,,,,,
143,23105,特惠礼包-30元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=600;452=100;451=200},106,,,,,activity/direct_gift/icon_cjbx9.png,,,,,
144,23105,特惠礼包-60元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_zjbx3.png,,,,,
