变量名,_beizhu,huodongID,level,needExp,normalAward,eliteAward,specialAward
默认值,"""""",0,0,0,{},{},0
ID,备注（节日通行证 type=92）,活动版本ID,等级,该等级所需经验,免费奖励,付费奖励,特殊档位标记
,,,,,,,
,节日通行证 - 等级奖励,,,,,,
1,等级1,107001,1,100,{gold=10000},{rmb=50},0
2,等级2,107001,2,100,{gold=15000},{rmb=80},0
3,等级3,107001,3,150,{gold=20000},{rmb=100},0
4,等级4,107001,4,150,{gold=25000},{rmb=120},0
5,等级5,107001,5,200,{gold=30000},{rmb=150},1
6,等级6,107001,6,200,{gold=35000},{rmb=180},0
7,等级7,107001,7,250,{gold=40000},{rmb=200},0
8,等级8,107001,8,250,{gold=50000},{rmb=250},0
9,等级9,107001,9,300,{gold=60000},{rmb=300},0
10,等级10,107001,10,300,{gold=80000},{rmb=400},1
11,等级11,107001,11,350,{gold=100000},{8201=5},0
12,等级12,107001,12,350,{gold=120000},{8201=8},0
13,等级13,107001,13,400,{gold=150000},{8201=10},0
14,等级14,107001,14,400,{gold=180000},{rmb=500},0
15,等级15,107001,15,500,{gold=200000},{rmb=600},1
16,等级16,107001,16,500,{gold=250000},{rmb=800},0
17,等级17,107001,17,600,{gold=300000},{rmb=1000},0
18,等级18,107001,18,600,{gold=350000},{rmb=1200},0
19,等级19,107001,19,700,{gold=400000},{rmb=1500},0
20,等级20,107001,20,800,{gold=500000},{rmb=2000},1
