变量名,_beizhu,huodongID,periodType,weekParam,taskType,taskParam,taskSpecialParam,taskAttribute,title,exp,jumpTo
默认值,"""""",0,0,0,0,0,{},3,"""""",0,""""""
ID,备注（节日通行证 type=92）,活动版本ID,周期(1=日/2=周/3=全程),周序号(周任务用),任务类型(TargetDefs),任务目标值,任务特殊参数,任务属性(3=普通/4=大师),任务描述,经验奖励,跳转
,,,,,,,,,,,
,节日通行证 - 任务,,,,,,,,,,
25001,每日登录,107001,1,,15,1,,,每日登录游戏,30,
25002,完成3场关卡,107001,1,,29,3,,,完成3场关卡战斗,40,
25003,竞技场战斗2次,107001,1,,41,2,,,竞技场战斗2次,40,
25004,消耗3万金币,107001,1,,20,30000,,,消耗3万金币,30,
25005,进行1次普通抽卡,107001,1,,45,1,,,进行1次普通抽卡,30,
25011,完成20场关卡(周1),107001,2,1,29,20,,3,完成20场关卡战斗,100,
25012,竞技场战斗10次(周1),107001,2,1,41,10,,3,竞技场战斗10次,80,
25013,消耗20万金币(周1),107001,2,1,20,200000,,3,消耗20万金币,80,
25014,充值累计300钻(周1),107001,2,1,22,300,,4,充值累计300钻石,120,
25021,完成20场关卡(周2),107001,2,2,29,20,,3,完成20场关卡战斗,100,
25022,竞技场战斗10次(周2),107001,2,2,41,10,,3,竞技场战斗10次,80,
25023,消耗20万金币(周2),107001,2,2,20,200000,,3,消耗20万金币,80,
25024,充值累计300钻(周2),107001,2,2,22,300,,4,充值累计300钻石,120,
25031,完成20场关卡(周3),107001,2,3,29,20,,3,完成20场关卡战斗,100,
25032,竞技场战斗10次(周3),107001,2,3,41,10,,3,竞技场战斗10次,80,
25033,消耗20万金币(周3),107001,2,3,20,200000,,3,消耗20万金币,80,
25034,充值累计300钻(周3),107001,2,3,22,300,,4,充值累计300钻石,120,
25041,累计登录7天,107001,3,,17,7,,3,累计登录7天,150,
25042,累计登录14天,107001,3,,17,14,,3,累计登录14天,300,
25043,累计登录21天,107001,3,,17,21,,3,累计登录21天,500,
