变量名,_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,award,vip,activeDays,jumpTo
默认值,"""""",0,0,9999,{},"""""",{},0,0,""""""
ID,备注,活动版本ID,任务类型;普通关卡战斗次数0;困难关卡战斗次数1;活动副本战斗次数2;竞技场战斗次数3;钻石十连抽4;钻石单抽5;装备十连抽6;装备单抽7;开金宝箱8;购买体力9;充值钻石10;装备强化11;装备铸炼12;装备升星13;点金14;VIP等级15;考古16;,任务参数,任务特殊参数,描述,奖励,vip限制,新增,新增
101,5级等级礼包_测试任务,8827,1,5,,等级达到5级,{gold=100000;rmb=100;11=30;5000=10},,,
102,10级等级礼包,8827,1,10,,等级达到10级,{gold=150000;rmb=200;11=30;19=5},,,
103,15级等级礼包,8827,1,15,,等级达到15级,{gold=200000;rmb=300;11=30;100=5},,,
104,20级等级礼包,8827,1,20,,等级达到20级,{gold=250000;rmb=300;12=20;800=5},,,
105,25级等级礼包,8827,1,25,,等级达到25级,{gold=300000;rmb=400;12=20;801=5},,,
106,30级等级礼包,8827,1,30,,等级达到30级,{gold=350000;rmb=400;12=20;451=5},,,
107,35级等级礼包,8827,1,35,,等级达到35级,{gold=400000;rmb=500;13=15;452=6},,,
108,40级等级礼包,8827,1,40,,等级达到40级,{gold=450000;rmb=500;13=15;800=10},,,
109,45级等级礼包,8827,1,45,,等级达到45级,{gold=500000;rmb=600;13=15;801=10},,,
,,,,,,,,,,
201,普通副本挑战_测试任务,8828,29,10,,普通关卡战斗10次,{gold=20000;rmb=100},,,
202,普通副本挑战,8828,29,15,,普通关卡战斗20次,{gold=20000;rmb=200},,,
203,普通副本挑战,8828,29,30,,普通关卡战斗30次,{gold=20000;rmb=300},,,
204,普通副本挑战,8828,29,40,,普通关卡战斗40次,{gold=20000;rmb=400},,,
205,普通副本挑战,8828,29,50,,普通关卡战斗50次,{gold=20000;13=14},,,
206,普通副本挑战,8828,29,60,,普通关卡战斗60次,{gold=20000;12=15},,,
207,普通副本挑战,8828,29,70,,普通关卡战斗70次,{gold=20000;11=16},,,
,,,,,,,,,,
301,购买体力_测试任务,8829,26,1,,购买体力1次,{gold=20000;rmb=10},,,
302,购买体力,8829,26,2,,购买体力2次,{gold=20000;rmb=11},,,
