变量名,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,award,goTo
默认值,1001,0,9999,{},"""""","""""","""""","""""","""""",{},""""""
ID,活动版本ID,任务类型,任务参数,任务特殊参数,描述,描述,描述,描述_越南,描述_韩,奖励,跳转目标
1,,17,1,,今日登陆,今日登陸,,,,{8112=3},
2,,55,5,,公会捐献5次,公會捐獻5次,,,,{8112=1},union
3,,41,5,,竞技场累计战斗5次,競技場累計戰鬥5次,,,,{8112=1},arena
4,,86,1,{1=4},完成S级以上的派遣1次,完成S級以上的派遣1次,,,,{8112=1},dispatchTask
5,,30,15,,挑战精英关卡次数15次,挑戰精英關卡次數15次,,,,{8112=1},20000
6,,26,2,,购买体力2次,購買體力2次,,,,{8112=1},gainStamina
7,,21,200,,累计消费200钻,累計消費200鉆,,,,{8112=2},
,,,,,,,,,,,
10,,,1,,累计触发获得宝箱1次,累計觸發獲得寶箱1次,,,,{gold=300000;6393=15;5000=50;27001=5},
11,,,2,,累计触发获得宝箱2次,累計觸發獲得寶箱2次,,,,{gold=300000;6393=15;930=50;27001=5},
12,,,4,,累计触发获得宝箱4次,累計觸發獲得寶箱4次,,,,{gold=300000;6393=15;16=15;27001=5},
13,,,7,,累计触发获得宝箱7次,累計觸發獲得寶箱7次,,,,{gold=300000;6393=15;850=100;27001=5},
14,,,10,,累计触发获得宝箱10次,累計觸發獲得寶箱10次,,,,{gold=300000;6393=15;902=25;27001=5},
15,,,13,,累计触发获得宝箱13次,累計觸發獲得寶箱13次,,,,{gold=300000;6393=15;5000=50;27001=5},
16,,,16,,累计触发获得宝箱16次,累計觸發獲得寶箱16次,,,,{gold=300000;6393=15;930=50;27001=5},
17,,,19,,累计触发获得宝箱19次,累計觸發獲得寶箱18次,,,,{gold=300000;6393=15;16=15;27001=5},
18,,,22,,累计触发获得宝箱22次,累計觸發獲得寶箱21次,,,,{gold=300000;6393=15;850=50;27001=5},
19,,,25,,累计触发获得宝箱25次,累計觸發獲得寶箱25次,,,,{gold=300000;6393=15;902=25;27001=5},
