变量名,serverOpenDays,fightPointLimit,vipLimit
默认值,,3000000,0
ID,开服天数,战力限制,VIP限制
1,1,3000000,0
2,2,3000000,0
3,3,3000000,0
4,4,3000000,0
5,5,3000000,0
6,6,3000000,0
7,7,3000000,0
8,8,3000000,0
9,9,3000000,0
10,10,3000000,0
11,11,3000000,0
12,12,3000000,0
13,13,3000000,0
14,14,3000000,0
15,15,3000000,0
16,16,3000000,0
17,17,3000000,0
18,18,3000000,0
19,19,3000000,0
20,20,3000000,0
21,21,3000000,0
22,22,3000000,0
23,23,3000000,0
24,24,3000000,0
25,25,3000000,0
26,26,3000000,0
27,27,3000000,0
28,28,3000000,0
29,29,3000000,0
30,30,3000000,0
31,31,3000000,0
32,32,3000000,0
33,33,3000000,0
34,34,3000000,0
35,35,3000000,0
36,36,3000000,0
37,37,3000000,0
38,38,3000000,0
39,39,3000000,0
40,40,3000000,0
41,41,3000000,0
42,42,3000000,0
43,43,3000000,0
44,44,3000000,0
45,45,3000000,0
46,46,3000000,0
47,47,3000000,0
48,48,3000000,0
49,49,3000000,0
50,50,3000000,0
51,51,3000000,0
52,52,3000000,0
53,53,3000000,0
54,54,3000000,0
55,55,3000000,0
56,56,3000000,0
57,57,3000000,0
58,58,3000000,0
59,59,3000000,0
60,60,3000000,0
61,61,3000000,5
62,62,3000000,5
63,63,3000000,5
64,64,3000000,5
65,65,3000000,5
66,66,3000000,5
67,67,3000000,5
68,68,3000000,5
69,69,3000000,5
70,70,3000000,5
71,71,3000000,5
72,72,3000000,5
73,73,3000000,5
74,74,3000000,5
75,75,3000000,5
76,76,3000000,5
77,77,3000000,5
78,78,3000000,5
79,79,3000000,5
80,80,3000000,5
81,81,3000000,5
82,82,3000000,5
83,83,3000000,5
84,84,3000000,5
85,85,3000000,5
86,86,3000000,5
87,87,3000000,5
88,88,3000000,5
89,89,3000000,5
90,90,3000000,5
91,91,3000000,5
92,92,3000000,5
93,93,3000000,5
94,94,3000000,5
95,95,3000000,5
96,96,3000000,5
97,97,3000000,5
98,98,3000000,5
99,99,3000000,5
100,100,3000000,5
101,101,3000000,5
102,102,3000000,5
103,103,3000000,5
104,104,3000000,5
105,105,3000000,5
106,106,3000000,5
107,107,3000000,5
108,108,3000000,5
109,109,3000000,5
110,110,3000000,5
111,111,3000000,5
112,112,3000000,5
113,113,3000000,5
114,114,3000000,5
115,115,3000000,5
116,116,3000000,5
117,117,3000000,5
118,118,3000000,5
119,119,3000000,5
120,120,3000000,5
121,121,3000000,5
122,122,3000000,5
123,123,3000000,5
124,124,3000000,5
125,125,3000000,5
126,126,3000000,5
127,127,3000000,5
128,128,3000000,5
129,129,3000000,5
130,130,3000000,5
131,131,3000000,5
132,132,3000000,5
133,133,3000000,5
134,134,3000000,5
135,135,3000000,5
136,136,3000000,5
137,137,3000000,5
138,138,3000000,5
139,139,3000000,5
140,140,3000000,5
141,141,3000000,5
142,142,3000000,5
143,143,3000000,5
144,144,3000000,5
145,145,3000000,5
146,146,3000000,5
147,147,3000000,5
148,148,3000000,5
149,149,3000000,5
150,150,3000000,5
151,151,3000000,5
152,152,3000000,5
153,153,3000000,5
154,154,3000000,5
155,155,3000000,5
156,156,3000000,5
157,157,3000000,5
158,158,3000000,5
159,159,3000000,5
160,160,3000000,5
161,161,3000000,5
162,162,3000000,5
163,163,3000000,5
164,164,3000000,5
165,165,3000000,5
166,166,3000000,5
167,167,3000000,5
168,168,3000000,5
169,169,3000000,5
170,170,3000000,5
171,171,3000000,5
172,172,3000000,5
173,173,3000000,5
174,174,3000000,5
175,175,3000000,5
176,176,3000000,5
177,177,3000000,5
178,178,3000000,5
179,179,3000000,5
180,180,3000000,5
181,181,3000000,5
182,182,3000000,5
183,183,3000000,5
184,184,3000000,5
185,185,3000000,5
186,186,3000000,5
187,187,3000000,5
188,188,3000000,5
189,189,3000000,5
190,190,3000000,5
191,191,3000000,5
192,192,3000000,5
193,193,3000000,5
194,194,3000000,5
195,195,3000000,5
196,196,3000000,5
197,197,3000000,5
198,198,3000000,5
199,199,3000000,5
200,200,3000000,5
201,201,3000000,5
202,202,3000000,5
203,203,3000000,5
204,204,3000000,5
205,205,3000000,5
206,206,3000000,5
207,207,3000000,5
208,208,3000000,5
209,209,3000000,5
210,210,3000000,5
211,211,3000000,5
212,212,3000000,5
213,213,3000000,5
214,214,3000000,5
215,215,3000000,5
216,216,3000000,5
217,217,3000000,5
218,218,3000000,5
219,219,3000000,5
220,220,3000000,5
221,221,3000000,5
222,222,3000000,5
223,223,3000000,5
224,224,3000000,5
225,225,3000000,5
226,226,3000000,5
227,227,3000000,5
228,228,3000000,5
229,229,3000000,5
230,230,3000000,5
231,231,3000000,5
232,232,3000000,5
233,233,3000000,5
234,234,3000000,5
235,235,3000000,5
236,236,3000000,5
237,237,3000000,5
238,238,3000000,5
239,239,3000000,5
240,240,3000000,5
241,241,3000000,5
242,242,3000000,5
243,243,3000000,5
244,244,3000000,5
245,245,3000000,5
246,246,3000000,5
247,247,3000000,5
248,248,3000000,5
249,249,3000000,5
250,250,3000000,5
251,251,3000000,5
252,252,3000000,5
253,253,3000000,5
254,254,3000000,5
255,255,3000000,5
256,256,3000000,5
257,257,3000000,5
258,258,3000000,5
259,259,3000000,5
260,260,3000000,5
261,261,3000000,5
262,262,3000000,5
263,263,3000000,5
264,264,3000000,5
265,265,3000000,5
266,266,3000000,5
267,267,3000000,5
268,268,3000000,5
269,269,3000000,5
270,270,3000000,5
271,271,3000000,5
272,272,3000000,5
273,273,3000000,5
274,274,3000000,5
275,275,3000000,5
276,276,3000000,5
277,277,3000000,5
278,278,3000000,5
279,279,3000000,5
280,280,3000000,5
281,281,3000000,5
282,282,3000000,5
283,283,3000000,5
284,284,3000000,5
285,285,3000000,5
286,286,3000000,5
287,287,3000000,5
288,288,3000000,5
289,289,3000000,5
290,290,3000000,5
291,291,3000000,5
292,292,3000000,5
293,293,3000000,5
294,294,3000000,5
295,295,3000000,5
296,296,3000000,5
297,297,3000000,5
298,298,3000000,5
299,299,3000000,5
300,300,3000000,5
301,301,3000000,5
302,302,3000000,5
303,303,3000000,5
304,304,3000000,5
305,305,3000000,5
306,306,3000000,5
307,307,3000000,5
308,308,3000000,5
309,309,3000000,5
310,310,3000000,5
311,311,3000000,5
312,312,3000000,5
313,313,3000000,5
314,314,3000000,5
315,315,3000000,5
316,316,3000000,5
317,317,3000000,5
318,318,3000000,5
319,319,3000000,5
320,320,3000000,5
321,321,3000000,5
322,322,3000000,5
323,323,3000000,5
324,324,3000000,5
325,325,3000000,5
326,326,3000000,5
327,327,3000000,5
328,328,3000000,5
329,329,3000000,5
330,330,3000000,5
331,331,3000000,5
332,332,3000000,5
333,333,3000000,5
334,334,3000000,5
335,335,3000000,5
336,336,3000000,5
337,337,3000000,5
338,338,3000000,5
339,339,3000000,5
340,340,3000000,5
341,341,3000000,5
342,342,3000000,5
343,343,3000000,5
344,344,3000000,5
345,345,3000000,5
346,346,3000000,5
347,347,3000000,5
348,348,3000000,5
349,349,3000000,5
350,350,3000000,5
351,351,3000000,5
352,352,3000000,5
353,353,3000000,5
354,354,3000000,5
355,355,3000000,5
356,356,3000000,5
357,357,3000000,5
358,358,3000000,5
359,359,3000000,5
360,360,3000000,5
361,361,3000000,5
362,362,3000000,5
363,363,3000000,5
364,364,3000000,5
365,365,3000000,5
366,366,3000000,5
367,367,3000000,5
368,368,3000000,5
369,369,3000000,5
370,370,3000000,5
371,371,3000000,5
372,372,3000000,5
373,373,3000000,5
374,374,3000000,5
375,375,3000000,5
376,376,3000000,5
377,377,3000000,5
378,378,3000000,5
379,379,3000000,5
380,380,3000000,5
381,381,3000000,5
382,382,3000000,5
383,383,3000000,5
384,384,3000000,5
385,385,3000000,5
386,386,3000000,5
387,387,3000000,5
388,388,3000000,5
389,389,3000000,5
390,390,3000000,5
391,391,3000000,5
392,392,3000000,5
393,393,3000000,5
394,394,3000000,5
395,395,3000000,5
396,396,3000000,5
397,397,3000000,5
398,398,3000000,5
399,399,3000000,5
400,400,3000000,5
401,401,3000000,5
402,402,3000000,5
403,403,3000000,5
404,404,3000000,5
405,405,3000000,5
406,406,3000000,5
407,407,3000000,5
408,408,3000000,5
409,409,3000000,5
410,410,3000000,5
411,411,3000000,5
412,412,3000000,5
413,413,3000000,5
414,414,3000000,5
415,415,3000000,5
416,416,3000000,5
417,417,3000000,5
418,418,3000000,5
419,419,3000000,5
420,420,3000000,5
421,421,3000000,5
422,422,3000000,5
423,423,3000000,5
424,424,3000000,5
425,425,3000000,5
426,426,3000000,5
427,427,3000000,5
428,428,3000000,5
429,429,3000000,5
430,430,3000000,5
431,431,3000000,5
432,432,3000000,5
433,433,3000000,5
434,434,3000000,5
435,435,3000000,5
436,436,3000000,5
437,437,3000000,5
438,438,3000000,5
439,439,3000000,5
440,440,3000000,5
441,441,3000000,5
442,442,3000000,5
443,443,3000000,5
444,444,3000000,5
445,445,3000000,5
446,446,3000000,5
447,447,3000000,5
448,448,3000000,5
449,449,3000000,5
450,450,3000000,5
451,451,3000000,5
452,452,3000000,5
453,453,3000000,5
454,454,3000000,5
455,455,3000000,5
456,456,3000000,5
457,457,3000000,5
458,458,3000000,5
459,459,3000000,5
460,460,3000000,5
461,461,3000000,5
462,462,3000000,5
463,463,3000000,5
464,464,3000000,5
465,465,3000000,5
466,466,3000000,5
467,467,3000000,5
468,468,3000000,5
469,469,3000000,5
470,470,3000000,5
471,471,3000000,5
472,472,3000000,5
473,473,3000000,5
474,474,3000000,5
475,475,3000000,5
476,476,3000000,5
477,477,3000000,5
478,478,3000000,5
479,479,3000000,5
480,480,3000000,5
481,481,3000000,5
482,482,3000000,5
483,483,3000000,5
484,484,3000000,5
485,485,3000000,5
486,486,3000000,5
487,487,3000000,5
488,488,3000000,5
489,489,3000000,5
490,490,3000000,5
491,491,3000000,5
492,492,3000000,5
493,493,3000000,5
494,494,3000000,5
495,495,3000000,5
496,496,3000000,5
497,497,3000000,5
498,498,3000000,5
499,499,3000000,5
500,500,3000000,5
501,501,3000000,5
502,502,3000000,5
503,503,3000000,5
504,504,3000000,5
505,505,3000000,5
506,506,3000000,5
507,507,3000000,5
508,508,3000000,5
509,509,3000000,5
510,510,3000000,5
511,511,3000000,5
512,512,3000000,5
513,513,3000000,5
514,514,3000000,5
515,515,3000000,5
516,516,3000000,5
517,517,3000000,5
518,518,3000000,5
519,519,3000000,5
520,520,3000000,5
521,521,3000000,5
522,522,3000000,5
523,523,3000000,5
524,524,3000000,5
525,525,3000000,5
526,526,3000000,5
527,527,3000000,5
528,528,3000000,5
529,529,3000000,5
530,530,3000000,5
531,531,3000000,5
532,532,3000000,5
533,533,3000000,5
534,534,3000000,5
535,535,3000000,5
536,536,3000000,5
537,537,3000000,5
538,538,3000000,5
539,539,3000000,5
540,540,3000000,5
541,541,3000000,5
542,542,3000000,5
543,543,3000000,5
544,544,3000000,5
545,545,3000000,5
546,546,3000000,5
547,547,3000000,5
548,548,3000000,5
549,549,3000000,5
550,550,3000000,5
551,551,3000000,5
552,552,3000000,5
553,553,3000000,5
554,554,3000000,5
555,555,3000000,5
556,556,3000000,5
557,557,3000000,5
558,558,3000000,5
559,559,3000000,5
560,560,3000000,5
561,561,3000000,5
562,562,3000000,5
563,563,3000000,5
564,564,3000000,5
565,565,3000000,5
566,566,3000000,5
567,567,3000000,5
568,568,3000000,5
569,569,3000000,5
570,570,3000000,5
571,571,3000000,5
572,572,3000000,5
573,573,3000000,5
574,574,3000000,5
575,575,3000000,5
576,576,3000000,5
577,577,3000000,5
578,578,3000000,5
579,579,3000000,5
580,580,3000000,5
581,581,3000000,5
582,582,3000000,5
583,583,3000000,5
584,584,3000000,5
585,585,3000000,5
586,586,3000000,5
587,587,3000000,5
588,588,3000000,5
