变量名,huodongID,rank,award,pointLeast,desc,desc_en
默认值,,,{},0,无奖励吗,无奖励吗
ID,活动版本号,名次内,排行奖励,积分限制,奖励描述,奖励描述
1,20191030,1,{card={id=1271};21271=100},7000,凤王+碎片*100,404
2,20191030,2,{card={id=1271};21271=80},5000,凤王+碎片*80,404
3,20191030,3,{card={id=1271}},3500,凤王,404
4,20191030,4,{21271=80},2000,凤王碎片*80,404
5,20191030,5,{21271=50},1000,凤王碎片*50,404
6,20191030,30,{21271=30},,凤王碎片*30,404
,闪光超级蜥蜴王,,,,,
11,1001,1,{card={id=7141};27141=240;501=5;2142=1},2200,,
12,1001,2,{card={id=7141};27141=160;501=4},1600,,
13,1001,3,{card={id=7141};27141=80;501=4},1400,,
14,1001,6,{card={id=7141};501=4;14=40},1200,,
15,1001,10,{21891=80;501=3;14=30},700,,
16,1001,20,{21891=50;501=2;14=30},400,,
17,1001,30,{21891=30;501=2;14=30},0,,
,艾岚超级喷火龙X,,,,,
21,1002,1,{card={id=7121};27121=240;501=5;2137=1},7000,,
22,1002,2,{card={id=7121};27121=160;501=4},5000,,
23,1002,3,{card={id=7121};27121=80;501=4},4000,,
24,1002,6,{card={id=7121};501=4;14=40},3500,,
25,1002,10,{21251=80;501=3;14=30},2000,,
26,1002,20,{21251=50;501=2;14=30},1000,,
27,1002,30,{21251=30;501=2;14=30},0,,
,故勒顿,,,,,
31,1003,1,{card={id=5381};25381=240;501=5;2148=1},7000,,
32,1003,2,{card={id=5381};25381=160;501=4},5000,,
33,1003,3,{card={id=5381};25381=80;501=4},4000,,
34,1003,6,{card={id=5381};501=4;14=40},3500,,
35,1003,10,{21421=80;501=3;14=30},2000,,
36,1003,20,{21421=50;501=2;14=30},1000,,
37,1003,30,{21421=30;501=2;14=30},0,,
,希嘉娜超级暴飞龙,,,,,
41,1004,1,{card={id=7181};27181=240;501=5;2149=1},7000,,
42,1004,2,{card={id=7181};27181=160;501=4},5000,,
43,1004,3,{card={id=7181};27181=80;501=4},4000,,
44,1004,6,{card={id=7181};501=4;14=40},3500,,
45,1004,10,{21901=80;501=3;14=30},2000,,
46,1004,20,{21901=50;501=2;14=30},1000,,
47,1004,30,{21901=30;501=2;14=30},0,,
,蕾冠王黑马,,,,,
51,1005,1,{card={id=4683};24683=240;2133=1;501=5},7000,,
52,1005,2,{card={id=4683};24683=160;501=4},5000,,
53,1005,3,{card={id=4683};24683=80;501=4},4000,,
54,1005,6,{card={id=4683};501=4;14=40},3500,,
55,1005,10,{22231=80;501=3;14=30},2000,,
56,1005,20,{22231=50;501=2;14=30},1000,,
57,1005,30,{22231=30;501=2;14=30},0,,
,蕾冠王白马,,,,,
61,1006,1,{card={id=4682};24682=240;2136=1;501=5},7000,,
