变量名,huodongID,amount,daySum,special,award
默认值,0,0,0,0,{}
ID,活动版本ID,充值门槛,累计天数,特殊奖励,奖励
,繁星之约-登录档（huodongID=102001）,,,,
1,102001,0,1,0,{rmb=50;gold=10000}
2,102001,0,2,0,{rmb=80;gold=20000}
3,102001,0,3,0,{rmb=100;gold=30000}
4,102001,0,5,0,{rmb=150;gold=50000}
5,102001,0,7,0,{rmb=200;gold=80000}
6,102001,0,7,1,{rmb=500;gold=200000;521=50}
,繁星之约-充值6元档（huodongID=102001）,,,,
7,102001,60,1,0,{rmb=100;gold=20000}
8,102001,60,2,0,{rmb=150;gold=30000}
9,102001,60,3,0,{rmb=200;gold=50000}
10,102001,60,5,0,{rmb=300;gold=80000}
11,102001,60,7,0,{rmb=500;gold=100000}
12,102001,60,7,1,{rmb=1000;gold=500000;521=100}
