变量名,huodongID,taskType,taskParam,freeItems,items,rechargeID,limit,name
默认值,0,0,0,{},{},0,0,
ID,活动ID,任务类型(1星级/2累购/3专属特惠),需要星级/购买次数,免费奖励,付费奖励,充值ID,购买限制,名称
,Mega助手 - type=90 megaAssist（huodongID=26101）,,,,,,,,
1,26101,1,1,{gold=50000},{rmb=100;gold=100000},102,1,1星奖励
2,26101,1,2,{gold=100000},{rmb=200;gold=200000},103,1,2星奖励
3,26101,1,3,{gold=150000},{rmb=300;gold=300000},104,1,3星奖励
4,26101,1,4,{gold=200000},{rmb=400;gold=400000},105,1,4星奖励
5,26101,1,5,{gold=250000},{rmb=500;gold=500000},106,1,5星奖励
6,26101,1,6,{gold=300000},{rmb=600;gold=600000},107,1,6星奖励
7,26101,2,3,{specCard=1},{},0,0,累购奖励
8,26101,3,0,{},{specEvo=5;specFrag=10;gold=500000},102,3,进化资源礼包
9,26101,3,0,{},{specEvo=15;specFrag=30;gold=1500000},104,2,高级进化资源礼包
10,26101,3,0,{},{specEvo=30;specFrag=60;gold=3000000},106,1,至尊进化资源礼包
