变量名,huodongID,markID,specEvo,specHeld
默认值,0,0,0,0
ID,活动ID,精灵标记ID(cardID=cards.csv的ID),进化道具ID,持有道具ID
,Mega通行证可选精灵 - type=103 megaPassport（huodongID=27101）,,,,
1,27101,3,3101,9059
2,27101,13,3102,9059
3,27101,23,3104,9059
4,27101,41,3105,9059
5,27101,53,3126,9059
6,27101,263,3108,9059
7,27101,393,3107,9059
8,27101,402,3125,9059
9,27101,572,3113,9059
10,27101,631,3123,9059
11,27101,701,3130,9059
12,27101,883,3109,9059
13,27101,1071,3118,9059
14,27101,1172,3119,9059
15,27101,1253,3135,9059
16,27101,1293,3131,9059
17,27101,1303,3120,9059
18,27101,1313,3112,9059
19,27101,1393,3114,9059
20,27101,1394,3115,9059
21,27101,1503,3116,9059
22,27101,1802,3129,9059
23,27101,1903,3111,9059
24,27101,1961,3121,9059
25,27101,1971,3117,9059
26,27101,1981,3110,9059
27,27101,2242,3124,9059
28,27101,2302,3106,9059
29,27101,3631,3127,9059
