变量名,_beizhu,huodongID,periodType,weekParam,taskAttribute,taskType,taskParam,taskSpecialParam,title,desc,exp,goToPanel
默认值,,0,1,1,3,0,9999,{},"""""",完成任务可获得经验值,0,
ID,备注,活动版本ID,周期类型（1=每日;2=每周）,周参数（第几周）,任务属性(3=普通;4=大师专属),任务类型;普通关卡战斗次数0;困难关卡战斗次数1;活动副本战斗次数2;竞技场战斗次数3;钻石十连抽4;钻石单抽5;装备十连抽6;装备单抽7;开金宝箱8;购买体力9;充值钻石10;装备强化11;装备铸炼12;装备升星13;点金14;VIP等级15;考古16;,任务参数,任务特殊参数,标题,描述,奖励,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动接口roleLogo头像接口figure个人形象接口gainGold点金接口recharge充值接口gainStamina购买体力friend好友接口cardBag背包接口strengthen还有培养接口handbook图鉴接口任意英文-数字表示其页签
,,,,,,,,,,,,
1,通行证日任务,1001,1,,,18,1,,进行1次聚宝,,10,gainGold
2,通行证日任务,1001,1,,,20,100000,,消耗100000金币,,10,
3,通行证日任务,1001,1,,,21,300,,消耗300钻石,,20,
4,通行证日任务,1001,1,,,26,1,,购买1次体力,,20,gainStamina
5,通行证日任务,1001,1,,,29,10,,挑战普通关卡10次,,10,10000
6,通行证日任务,1001,1,,,30,3,,挑战困难关卡3次,,20,20000
7,通行证日任务,1001,1,,,36,3,,精灵升级3次,,20,strengthen-1
8,通行证日任务,1001,1,,,41,5,,竞技场战斗5次,,20,
,,,,,,,,,,,,
9,通行证第一周任务,1001,2,1,4,18,10,,进行10次聚宝,,20,gainGold
10,通行证第一周任务,1001,2,1,,20,1000000,,消耗1000000金币,,20,
11,通行证第一周任务,1001,2,1,,21,1000,,消耗1000钻石,,30,
12,通行证第一周任务,1001,2,1,,26,10,,购买10次体力,,30,gainStamina
13,通行证第一周任务,1001,2,1,,29,80,,挑战普通关卡80次,,30,10000
14,通行证第一周任务,1001,2,1,,30,30,,挑战困难关卡30次,,30,20000
15,通行证第一周任务,1001,2,1,,36,30,,精灵升级30次,,30,strengthen-1
16,通行证第一周任务,1001,2,1,,41,20,,竞技场战斗20次,,30,
,,,,,,,,,,,,
17,通行证第二周任务,1001,2,2,4,18,10,,进行10次聚宝,,20,gainGold
18,通行证第二周任务,1001,2,2,,20,1000000,,消耗1000000金币,,20,
19,通行证第二周任务,1001,2,2,,21,1000,,消耗1000钻石,,30,
20,通行证第二周任务,1001,2,2,,26,10,,购买10次体力,,30,gainStamina
21,通行证第二周任务,1001,2,2,,29,80,,挑战普通关卡80次,,30,10000
22,通行证第二周任务,1001,2,2,,30,30,,挑战困难关卡30次,,30,20000
23,通行证第二周任务,1001,2,2,,36,30,,精灵升级30次,,30,strengthen-1
