变量名,_beizhu,huodongID,round,award,extraAward1,extraAward2
默认值,"""""",0,0,{},{},{}
ID,备注,活动版本ID,轮次,通关奖励,8次内翻到额外奖励,8次外翻到额外奖励
,寻找精灵-轮次奖励（huodongID=1001）,,,,,
1,第1轮奖励,1001,1,{rmb=100;gold=50000;519=1},{rmb=50},{rmb=20}
2,第2轮奖励,1001,2,{rmb=150;gold=100000;519=2},{rmb=80},{rmb=30}
3,第3轮奖励,1001,3,{rmb=200;gold=150000;519=3;2315=1},{rmb=100},{rmb=50}
4,第4轮奖励,1001,4,{rmb=250;gold=200000;519=3;2016=1},{rmb=120},{rmb=60}
5,第5轮奖励,1001,5,{rmb=300;gold=250000;519=5;502=3},{rmb=150},{rmb=80}
6,第6轮奖励,1001,6,{rmb=400;gold=300000;519=5;501=1},{rmb=200},{rmb=100}
7,第7轮奖励,1001,7,{rmb=500;gold=400000;519=8;2405=1},{rmb=250},{rmb=120}
8,第8轮奖励,1001,8,{rmb=600;gold=500000;519=10;card={id=4024}},{rmb=300},{rmb=150}
,寻找精灵-轮次奖励（huodongID=1002）,,,,,
11,第1轮奖励,1002,1,{rmb=100;gold=50000;519=1},{rmb=50},{rmb=20}
12,第2轮奖励,1002,2,{rmb=150;gold=100000;519=2},{rmb=80},{rmb=30}
13,第3轮奖励,1002,3,{rmb=200;gold=150000;519=3;2327=1},{rmb=100},{rmb=50}
14,第4轮奖励,1002,4,{rmb=250;gold=200000;519=3;2029=1},{rmb=120},{rmb=60}
15,第5轮奖励,1002,5,{rmb=300;gold=250000;519=5;502=3},{rmb=150},{rmb=80}
16,第6轮奖励,1002,6,{rmb=400;gold=300000;519=5;501=1},{rmb=200},{rmb=100}
17,第7轮奖励,1002,7,{rmb=500;gold=400000;519=8;2418=1},{rmb=250},{rmb=120}
18,第8轮奖励,1002,8,{rmb=600;gold=500000;519=10;card={id=4023}},{rmb=300},{rmb=150}
