变量名,huodongID,type,num,award
默认值,0,1,0,{}
ID,活动版本ID,页签类型(1-签到;2-积分),目标值,任务奖励
1,101031,1,1,{gold=880000;6327=5;500=5}
2,101031,1,2,{gold=880000;6327=5;500=5}
3,101031,1,3,{gold=880000;6327=5;500=5}
4,101031,1,4,{gold=880000;6327=5;500=5}
5,101031,1,5,{gold=880000;6327=5;500=5}
6,101031,1,6,{gold=880000;6328=5;500=8}
7,101031,1,7,{gold=880000;6328=5;500=8}
8,101031,1,8,{gold=880000;6328=5;500=8}
9,101031,1,9,{gold=880000;6328=5;500=8}
10,101031,1,10,{gold=880000;6328=5;500=8}
11,101031,1,11,{gold=880000;6329=5;500=8}
12,101031,1,12,{gold=880000;6329=5;500=8}
13,101031,1,13,{gold=880000;6329=5;500=8}
14,101031,1,14,{gold=880000;6329=5;500=8}
15,101031,2,400,{gold=88888;rmb=8888;902=50}
16,101031,2,800,{gold=188888;rmb=8888;16=88}
17,101031,2,1200,{gold=280000;rmb=8888;541=10}
18,101031,2,1500,{gold=580000;rmb=8888;502=10}
19,101031,2,2000,{gold=680000;rmb=8888;603=30}
20,101031,2,2400,{gold=880000;rmb=8888;605=50}
21,101031,2,2800,{gold=1280000;521=5;502=3}
22,101031,2,3200,{gold=1580000;500=5;521=8}
23,101031,2,3600,{gold=1880000;453=88;452=188}
24,101031,2,4000,{gold=2180000;541=20;537=20}
25,101031,2,5000,{gold=2580000;521=28;500=18}
,,,,
101,10001,1,1,{6326=3;gold=200000;rmb=88}
102,10001,1,2,{6326=3;gold=200000;rmb=88}
103,10001,1,3,{6326=3;gold=200000;rmb=88}
104,10001,1,4,{6326=3;gold=200000;rmb=88}
105,10001,1,5,{6326=3;gold=200000;rmb=88}
106,10001,1,6,{6326=3;gold=200000;rmb=88}
107,10001,1,7,{6326=3;gold=200000;rmb=88}
108,10001,1,8,{6326=3;gold=200000;rmb=88}
109,10001,1,9,{6326=3;gold=200000;rmb=88}
110,10001,1,10,{6326=3;gold=200000;rmb=88}
111,10001,1,11,{6326=3;gold=200000;rmb=88}
112,10001,1,12,{6326=3;gold=200000;rmb=88}
,,,,
201,10001,2,300,{5000=10;930=10;850=50}
202,10001,2,600,{21941=3;21951=3;2102=10}
203,10001,2,800,{5000=15;930=15;850=50}
204,10001,2,1000,{21941=3;21951=3;2102=10}
205,10001,2,1300,{5000=15;930=15;850=50}
206,10001,2,1600,{502=3;gold=200000;rmb=50}
