变量名,huodongID,round,drawLevelLimit,specialShowFlag,cardID,weight
默认值,0,0,1,0,0,100
ID,活动版本ID,轮次,抽卡等级限制,特殊展示标记,卡牌ID,权重
,千抽活动-配置 huodongID=104004,,,,,
,通用卡池(round=0),,,,,
,rarity=1 基础,,,,,
1,104004,0,0,0,31,100
2,104004,0,0,0,51,100
3,104004,0,0,0,91,100
,rarity=2 普通,,,,,
4,104004,0,0,0,1,80
5,104004,0,0,0,11,80
6,104004,0,0,0,21,80
7,104004,0,0,0,211,80
8,104004,0,0,0,271,80
,rarity=3 进化,,,,,
9,104004,0,0,0,3,40
10,104004,0,0,0,13,40
11,104004,0,0,0,23,40
12,104004,0,0,0,241,40
13,104004,0,0,0,261,40
,rarity=4 传说,,,,,
14,104004,0,0,0,761,5
15,104004,0,0,0,1261,5
16,104004,0,0,0,1271,5
,轮次配置(round>0) 34轮x3位x10张=1020千抽,,,,,
17,104004,1,1,0,0,0
18,104004,2,1,0,0,0
19,104004,3,1,0,0,0
20,104004,4,1,0,0,0
21,104004,5,1,0,0,0
22,104004,6,1,0,0,0
23,104004,7,1,0,0,0
24,104004,8,1,0,0,0
25,104004,9,1,0,0,0
26,104004,10,1,0,0,0
27,104004,11,5,0,0,0
28,104004,12,5,0,0,0
29,104004,13,5,0,0,0
30,104004,14,5,0,0,0
31,104004,15,5,0,0,0
32,104004,16,10,0,0,0
33,104004,17,10,0,0,0
34,104004,18,10,0,0,0
35,104004,19,10,0,0,0
36,104004,20,10,0,0,0
37,104004,21,15,0,0,0
38,104004,22,15,0,0,0
39,104004,23,15,0,0,0
40,104004,24,15,0,0,0
41,104004,25,15,0,0,0
42,104004,26,20,0,0,0
43,104004,27,20,0,0,0
44,104004,28,20,0,0,0
45,104004,29,20,0,0,0
46,104004,30,20,1,0,0
47,104004,31,25,0,0,0
48,104004,32,25,0,0,0
49,104004,33,25,1,0,0
50,104004,34,25,1,0,0
