变量名,huodongID,taskType,taskParam,taskSpecialParam,desc,award,times,jumpTo
默认值,0,0,9999,{},"""""",0,1,""""""
ID,活动版本ID,任务类型,任务参数,任务特殊参数,描述,奖励(许愿次数),可完成次数,跳转
,许愿水晶球-每日任务 huodongID=104005,,,,,,,
1,104005,17,1,,当日登录游戏,1,1,
2,104005,18,5,,聚宝5次,1,3,gainGold
3,104005,41,3,,进行3次竞技场挑战,2,3,arena
4,104005,28,200,,消耗体力达200点,1,3,gate
5,104005,22,50,,累计充值50钻石,3,3,recharge
6,104005,29,10,,挑战10次普通关卡,1,3,gate
7,104005,45,5,,抽卡5次,1,3,drawCard
8,104005,70,5,,完成5个日常任务,1,3,
9,104005,21,100,,消费100钻石,2,3,
10,104005,34,3,,进行3次技能升级,1,3,strengthen
11,104005,27,3,,赠送3次好友体力,1,3,friend
12,104005,55,1,,进行1次公会捐献,1,3,
13,104005,25,1,,每日签到,1,1,
14,104005,36,5,,进行5次卡牌升级,1,3,cardBag
15,104005,30,3,,挑战3次精英关卡,1,3,gate
