变量名,_beizhu,team1,team2,focus,point,startDate,startTime,betStartDate,betStartTime,betEndDate,betEndTime,awardDate,awardTime,bet,odds,oddsShow,betWDLAwards,betWrong,betScoreAwards,huodongID
默认值,"""""",0,0,0,"""""",20260410,2100,20260410,800,20260410,2000,20260410,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
ID,备注,主队teamId,客队teamId,焦点场0/1,比分(空=未赛),开赛日期,开赛时间,投注开始日期,投注开始时间,投注截止日期,投注截止时间,开奖日期,开奖时间,WDL投注金币,赔率,展示赔率,WDL猜中道具,安慰奖道具,比分猜中道具,活动版本ID
,世界杯赛程 - type=77 worldCup（huodongID=1）,,,,,,,,,,,,,,,,,,,
,第1天 4月10日（A组+E组）,,,,,,,,,,,,,,,,,,,
1,A组第1场,1,2,1,2:1,20260410,2100,20260410,800,20260410,2000,20260410,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
2,E组第1场,17,18,1,2:0,20260410,2100,20260410,800,20260410,2000,20260410,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
3,A组第2场,3,4,0,1:0,20260410,2400,20260410,800,20260410,2300,20260411,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
4,E组第2场,19,20,0,0:1,20260410,2400,20260410,800,20260410,2300,20260411,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第2天 4月11日（B组+F组）,,,,,,,,,,,,,,,,,,,
5,B组第1场,5,6,1,3:1,20260411,2100,20260411,800,20260411,2000,20260411,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
6,F组第1场,21,22,1,1:2,20260411,2100,20260411,800,20260411,2000,20260411,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
