变量名,_beizhu,targetType,targetArg,title,award,sort
默认值,"""""",1,1,"""""",{},1
ID,备注,目标类型(1=投注场次/2=WDL猜中/3=比分猜中/4=焦点场投注/5=冠军名次),目标值,任务描述,奖励,排序
,世界杯成就任务 - type=77 worldCup,,,,,
,投注场次,,,,,
1,参与1场投注,1,1,参与1场竞猜,{6330=10},1
2,参与5场投注,1,5,参与5场竞猜,{6330=30},2
3,参与10场投注,1,10,参与10场竞猜,{6330=60},3
,WDL猜中,,,,,
4,猜中1场胜平负,2,1,胜平负猜中1场,{6330=20},1
5,猜中3场胜平负,2,3,胜平负猜中3场,{6330=50},2
6,猜中5场胜平负,2,5,胜平负猜中5场,{6330=100},3
,比分猜中,,,,,
7,猜中1场比分,3,1,比分猜中1场,{6330=80},1
8,猜中2场比分,3,2,比分猜中2场,{6330=150},2
,焦点场投注,,,,,
9,参与1场焦点战,4,1,参与1场焦点竞猜,{6330=15},1
10,参与3场焦点战,4,3,参与3场焦点竞猜,{6330=50},2
,冠军预测,,,,,
11,冠军预测前4名,5,4,预测冠军进入前4名,{6330=300},1
12,冠军预测冠军,5,1,预测冠军夺冠,{6330=600},2
