变量名,_beizhu,teamName,teamNameAbbr,teamIcon,group,worldrank,seq1,seq2,seq3,seq4,seq5,point,rank,championPredictRes,finalRank,historyScore,historyGlory
默认值,"""""","""""","""""","""""",1,1,0,0,0,0,0,"""""",0,"""""",0,"""""",""""""
ID,备注,球队全名,球队缩写,队徽,小组号,世界排名,淘汰赛位1,淘汰赛位2,淘汰赛位3,淘汰赛位4,淘汰赛位5,小组积分,组内排名,冠军预测资源,最终名次(0=未定),历史战绩,荣誉
,世界杯球队 - type=77 worldCup,,,,,,,,,,,,,,,,
,A组,,,,,,,,,,,,,,,,
1,A组队1,巴西,BRA,activity/world_cup/flag/brazil.png,1,1,0,0,0,0,0,7,1,activity/world_cup/flag/brazil_pkq.png,1,,
2,A组队2,德国,GER,activity/world_cup/flag/germany.png,1,2,0,0,0,0,0,6,2,activity/world_cup/flag/germany_pkq.png,0,,
3,A组队3,日本,JPN,activity/world_cup/flag/japan.png,1,3,0,0,0,0,0,2,3,activity/world_cup/flag/japan_pkq.png,0,,
4,A组队4,哥斯达黎加,CRC,activity/world_cup/flag/costarica.png,1,4,0,0,0,0,0,0,4,activity/world_cup/flag/costarica_pkq.png,0,,
,B组,,,,,,,,,,,,,,,,
5,B组队1,法国,FRA,activity/world_cup/flag/france.png,2,1,0,0,0,0,0,9,1,activity/world_cup/flag/france_pkq.png,0,,
6,B组队2,英格兰,ENG,activity/world_cup/flag/england.png,2,2,0,0,0,0,0,2,3,activity/world_cup/flag/england_pkq.png,0,,
7,B组队3,韩国,KOR,activity/world_cup/flag/kr.png,2,3,0,0,0,0,0,2,4,activity/world_cup/flag/kr_pkq.png,0,,
8,B组队4,墨西哥,MEX,activity/world_cup/flag/mexico.png,2,4,0,0,0,0,0,4,2,activity/world_cup/flag/mexico_pkq.png,0,,
,C组,,,,,,,,,,,,,,,,
9,C组队1,阿根廷,ARG,activity/world_cup/flag/argentina.png,3,1,0,0,0,0,0,7,1,activity/world_cup/flag/argentina_pkq.png,0,,
10,C组队2,西班牙,ESP,activity/world_cup/flag/spain.png,3,2,0,0,0,0,0,3,3,activity/world_cup/flag/spain_pkq.png,0,,
11,C组队3,波兰,POL,activity/world_cup/flag/poland.png,3,3,0,0,0,0,0,6,2,activity/world_cup/flag/poland_pkq.png,0,,
12,C组队4,沙特阿拉伯,KSA,activity/world_cup/flag/saudi.png,3,4,0,0,0,0,0,1,4,activity/world_cup/flag/saudi_pkq.png,0,,
,D组,,,,,,,,,,,,,,,,
13,D组队1,葡萄牙,POR,activity/world_cup/flag/portugal.png,4,1,0,0,0,0,0,4,3,activity/world_cup/flag/portugal_pkq.png,0,,
14,D组队2,荷兰,NED,activity/world_cup/flag/netherlands.png,4,2,0,0,0,0,0,7,1,activity/world_cup/flag/netherlands_pkq.png,4,,
15,D组队3,塞内加尔,SEN,activity/world_cup/flag/senegal.png,4,3,0,0,0,0,0,3,4,activity/world_cup/flag/senegal_pkq.png,0,,
16,D组队4,厄瓜多尔,ECU,activity/world_cup/flag/ecuador.png,4,4,0,0,0,0,0,3,2,activity/world_cup/flag/ecuador_pkq.png,0,,
,E组,,,,,,,,,,,,,,,,
17,E组队1,克罗地亚,CRO,activity/world_cup/flag/croatia.png,5,1,0,0,0,0,0,9,1,activity/world_cup/flag/croatia_pkq.png,0,,
18,E组队2,比利时,BEL,activity/world_cup/flag/begium.png,5,2,0,0,0,0,0,1,3,activity/world_cup/flag/begium_pkq.png,0,,
19,E组队3,加拿大,CAN,activity/world_cup/flag/canada.png,5,3,0,0,0,0,0,1,4,activity/world_cup/flag/canada_pkq.png,0,,
20,E组队4,摩洛哥,MAR,activity/world_cup/flag/morocco.png,5,4,0,0,0,0,0,6,2,activity/world_cup/flag/morocco_pkq.png,0,,
,F组,,,,,,,,,,,,,,,,
21,F组队1,瑞士,SUI,activity/world_cup/flag/switzerland.png,6,1,0,0,0,0,0,1,4,activity/world_cup/flag/switzerland_pkq.png,0,,
22,F组队2,乌拉圭,URU,activity/world_cup/flag/uruguay.png,6,2,0,0,0,0,0,4,2,activity/world_cup/flag/uruguay_pkq.png,3,,
23,F组队3,塞尔维亚,SRB,activity/world_cup/flag/serbia.png,6,3,0,0,0,0,0,7,1,activity/world_cup/flag/serbia_pkq.png,0,,
24,F组队4,喀麦隆,CMR,activity/world_cup/flag/cameroon.png,6,4,0,0,0,0,0,4,3,activity/world_cup/flag/cameroon_pkq.png,0,,
,G组,,,,,,,,,,,,,,,,
25,G组队1,丹麦,DEN,activity/world_cup/flag/denark.png,7,1,0,0,0,0,0,7,1,activity/world_cup/flag/denark_pkq.png,2,,
26,G组队2,澳大利亚,AUS,activity/world_cup/flag/australia.png,7,2,0,0,0,0,0,2,3,activity/world_cup/flag/australia_pkq.png,0,,
27,G组队3,突尼斯,TUN,activity/world_cup/flag/tunisia.png,7,3,0,0,0,0,0,1,4,activity/world_cup/flag/tunisia_pkq.png,0,,
