变量名,grids,__version
默认值,<<0;0>>,
ID,grids,__version
1,<<0;0>>,
2,<<0;0>;<1;0>>,
3,<<0;0>;<1;0>;<-1;0>>,
4,<<0;0>;<1;0>;<0;1>>,
5,<<0;0>;<1;0>;<2;0>;<-1;0>>,
6,<<0;0>;<1;0>;<2;0>;<0;1>>,
7,<<0;0>;<1;0>;<2;0>;<0;-1>>,
8,<<0;0>;<1;0>;<-1;0>;<0;1>>,
9,<<0;0>;<1;0>;<0;1>;<1;1>>,
10,<<0;0>;<1;0>;<0;-1>;<-1;-1>>,
11,<<0;0>;<1;0>;<0;1>;<-1;1>>,
12,<<0;0>;<1;0>;<2;0>;<-1;0>;<-2;0>>,
13,<<0;0>;<1;0>;<2;0>;<0;1>;<0;2>>,
14,<<0;0>;<1;0>;<-1;0>;<0;1>;<0;2>>,
15,<<0;0>;<1;0>;<-1;0>;<0;1>;<1;1>;<-1;1>>,
16,<<0;0>;<1;0>;<-1;0>;<0;1>;<1;1>;<-1;1>;<0;-1>;<1;-1>;<-1;-1>>,
