变量名,points,huodongID,random1,random2,random3,__version
默认值,0,0,{},{},{},
ID,points,huodongID,random1,random2,random3,__version
1,200,1000,{1=30;2=30;3=25;4=5},{1=30;2=30;3=25;4=5},{1=30;2=30;3=30},
2,500,1000,{1=15;2=20;3=25;4=25;5=15},{1=15;2=20;3=25;4=25;5=15},{1=15;2=20;3=25;4=25;5=15},
3,800,1000,{1=15;2=20;3=25;4=25;5=15},{1=15;2=20;3=25;4=25;5=15},{1=15;2=20;3=25;4=25;5=15},
4,1100,1000,{1=15;2=15;3=20;4=20;5=15;6=15},{1=15;2=15;3=20;4=20;5=15;6=15},{1=15;2=15;3=20;4=20;5=15;6=15},
5,1400,1000,{1=10;2=10;3=20;4=20;5=20;6=20},{1=10;2=10;3=20;4=20;5=20;6=20},{1=10;2=10;3=20;4=20;5=20;6=20},
6,1700,1000,{1=10;2=15;3=20;4=20;5=15;6=15;9=5},{1=10;2=15;3=20;4=20;5=20;6=15},{1=10;2=15;3=20;4=20;5=15;6=15;9=5},
7,2000,1000,{1=10;2=10;3=25;4=20;5=15;6=15;9=5},{1=10;2=10;3=20;4=25;5=15;6=15;9=5},{1=10;2=10;3=25;4=25;5=15;6=15},
8,2300,1000,{1=5;2=5;3=15;4=15;5=30;6=3},{1=5;2=5;3=10;4=10;5=30;6=30;9=10},{1=5;2=5;3=10;4=10;5=30;6=30;9=10},
9,2600,1000,{1=5;2=5;3=10;4=5;5=30;6=30;9=15},{1=5;2=5;3=5;4=10;5=30;6=30;9=15},{1=10;2=5;3=5;4=10;5=30;6=30;9=10},
