变量名,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum,roriFrags,roriCards,__version
默认值,"""""",0,<>,<>,{gold=20000},<>,<>,{gold=500000},10,<>,<>,
ID,备注,类型,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,指定特殊碎片<<fragID1;num>;<fragID2;num>>(fragID支持配置万能碎片itemID),碎片转化消耗固定材料,精灵转换需<稀有度;属性系> -1为任意,指定特殊卡牌<markID>,卡牌转化消耗固定材料,精灵转换数量,新增,新增,__version
50001,,2,,<<20001;1>>,{gold=10000},,<1;9001>,{gold=300000},30,,,
50011,,2,,<<20011;1>>,{gold=10000},,<11;9001>,{gold=300000},30,,,
50021,,2,,<<20021;1>>,{gold=10000},,<21;9001>,{gold=300000},30,,,
50031,,2,,<<20031;1>>,{gold=10000},,<31>,{gold=200000},20,,,
50041,,2,,<<20041;1>>,{gold=10000},,<41>,{gold=200000},20,,,
50051,,2,,<<20051;1>>,{gold=10000},,<51;9001>,{gold=300000},30,,,
50061,,2,,<<20061;1>>,{gold=10000},,<61>,{gold=200000},20,,,
50071,,2,,<<20071;1>>,{gold=10000},,<71>,{gold=200000},20,,,
50081,,2,,<<20081;1>>,{gold=10000},,<81>,{gold=200000},20,,,
50091,,2,,<<20091;1>>,{gold=10000},,<91;9001>,{gold=300000},30,,,
50101,,2,,<<20101;1>>,{gold=10000},,<101>,{gold=200000},20,,,
50111,,2,,<<20111;1>>,{gold=10000},,<111>,{gold=200000},20,,,
50121,,2,,<<20121;1>>,{gold=10000},,<121>,{gold=200000},20,,,
50131,,2,,<<20131;1>>,{gold=10000},,<131;9001>,{gold=300000},30,,,
50143,,2,,<<20143;1>;<502;1>;<544;1>>,{gold=15000},,<143;9002>,{gold=750000},50,,,
50151,,2,,<<20151;1>>,{gold=10000},,<151;9001>,{gold=300000},30,,,
50161,,2,,<<20161;1>;<502;1>;<544;1>>,{gold=15000},,<161;9002>,{gold=750000},50,,,
50171,,2,,<<20171;1>>,{gold=10000},,<171>,{gold=200000},20,,,
50191,,2,,<<20191;1>>,{gold=10000},,<191>,{gold=200000},20,,,
50211,,2,,<<20211;1>>,{gold=10000},,<211;9001>,{gold=300000},30,,,
