变量名,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2,__version
默认值,0,,0,{},0.5,"""""",1,-1,{},-1,{},
ID,z觉醒id,精灵备注,觉醒阶段ID,结点位置坐标,结点缩放,觉醒阶段强化效果简要描述,开启状态：1.当前版本开启，2.当前版本未开启可预览，3.当前版本未开启,开启条件1类型：(-1)自身养成; (markID)其他精灵,开启条件1具体参数：1.觉醒阶段参数 2.其他养成具体参数(goodFeel:好感度等级;equipStarSum:饰品总星级;equipAwakeSum:饰品总觉醒;equipSignetAdvanceSum:饰品总刻印等级;zawakeStage:Z觉醒阶段;star:精灵星级;nvalueSum:个体值总和;advance:突破阶段;effort:精灵努力值阶段;gemQuality:符石指数),开启条件2类型,开启条件2具体参数,__version
10101,1,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
10102,1,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
10103,1,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
10104,1,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
10105,1,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
10106,1,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
10107,1,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
10108,1,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
10201,2,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
10202,2,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
10203,2,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
10204,2,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
10205,2,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
10206,2,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
10207,2,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
10208,2,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
11101,11,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
11102,11,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
11103,11,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
11104,11,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
11105,11,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
11106,11,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
11107,11,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
11108,11,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
11201,12,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
11202,12,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
11203,12,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
11204,12,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
11205,12,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
11206,12,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
11207,12,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
11208,12,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
11301,13,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
11302,13,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
11303,13,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
11304,13,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
11305,13,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
11306,13,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
11307,13,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
11308,13,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
12101,21,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
12102,21,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
12103,21,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
12104,21,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
12105,21,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
12106,21,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
12107,21,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
12108,21,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
12201,22,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
12202,22,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
12203,22,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
12204,22,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
12205,22,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
12206,22,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
12207,22,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
12208,22,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
13101,31,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
13102,31,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
13103,31,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
13104,31,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
13105,31,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
13106,31,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
13107,31,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
13108,31,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
14101,41,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
14102,41,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
14103,41,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
14104,41,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
14105,41,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
14106,41,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
14107,41,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
14108,41,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
14201,42,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
14202,42,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
14203,42,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
14204,42,,4,,,被动技能获得强化提升!,,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
14205,42,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
14206,42,,6,,,大招技能获得强化提升!,,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
14207,42,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
14208,42,,8,,,个体值六维属性额外提升,,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
15101,51,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
15102,51,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
15103,51,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
15104,51,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
15105,51,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
15106,51,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
15107,51,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
15108,51,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
15201,52,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
15202,52,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
15203,52,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
15204,52,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
15205,52,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
15206,52,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
15207,52,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
15208,52,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
16101,61,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
16102,61,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
16103,61,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
16104,61,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
16105,61,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
16106,61,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
16107,61,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
16108,61,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
17101,71,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
17102,71,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
17103,71,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
17104,71,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
17105,71,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
17106,71,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
17107,71,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
17108,71,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
18101,81,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
18102,81,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
18103,81,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
18104,81,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
18105,81,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
18106,81,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
18107,81,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
18108,81,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
19101,91,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
19102,91,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
19103,91,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
19104,91,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
19105,91,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
19106,91,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
19107,91,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
19108,91,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
20101,101,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
20102,101,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
20103,101,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
20104,101,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
20105,101,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
20106,101,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
20107,101,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
20108,101,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
21101,111,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
21102,111,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
21103,111,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
21104,111,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
21105,111,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
21106,111,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
21107,111,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
21108,111,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
22101,121,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
22102,121,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
22103,121,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
22104,121,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
22105,121,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
22106,121,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
22107,121,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
22108,121,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
23101,131,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
23102,131,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
23103,131,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
23104,131,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
23105,131,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
23106,131,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
23107,131,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
23108,131,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
24301,143,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
24302,143,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
24303,143,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
24304,143,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
24305,143,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
24306,143,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
24307,143,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
24308,143,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
25101,151,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
25102,151,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
25103,151,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
25104,151,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
25105,151,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
25106,151,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
25107,151,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
25108,151,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
26101,161,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
26102,161,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
26103,161,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
26104,161,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
26105,161,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
26106,161,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
26107,161,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
26108,161,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
27101,171,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
27102,171,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
27103,171,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
27104,171,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
27105,171,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
27106,171,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
27107,171,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
27108,171,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
29101,191,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
29102,191,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
29103,191,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
29104,191,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
