变量名,name,languages,cardID,icon,desc,desc1,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,effect,sortType,sortValue,__version
默认值,"""""",<cn;tw;en;en_us;en_eu;vn;th;kr>,0,config/portrait/jinglingtouxiang/img_25_pkq@.png,一种无法合成精灵特殊的碎片,主要用于进行精灵Z觉醒，但也可以用来提升极限属性，甚至作为超进化材料,4,5,9999,<1>,<3>,"""""","""""","""""","""""","""""","""""","""""",可在精灵Z觉醒里兑换获得,{gain=FALSE;drawcard=FALSE},0,0,
ID,碎片名称,语言区域,卡牌ID,碎片图标,描述,卡牌碎片信息,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片5专属觉醒碎片6通用觉醒碎片),堆叠上限,功能按键,特殊页签显示,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,分别表示在抽卡，恭喜获得,排序类型,排序价值,__version
50001,妙蛙种子·Z觉醒碎片,,1,config/portrait/jinglingtouxiang/img_1_mwzz@.png,用于提升妙蛙种子的Z觉醒养成,用于提升妙蛙种子的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50011,小火龙·Z觉醒碎片,,11,config/portrait/jinglingtouxiang/img_4_xhl@.png,用于提升小火龙的Z觉醒养成,用于提升小火龙的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50021,杰尼龟·Z觉醒碎片,,21,config/portrait/jinglingtouxiang/img_7_jng@.png,用于提升杰尼龟的Z觉醒养成,用于提升杰尼龟的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50031,绿毛虫·Z觉醒碎片,,31,config/portrait/jinglingtouxiang/img_10_lmc@.png,用于提升绿毛虫的Z觉醒养成,用于提升绿毛虫的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50041,大针蜂·Z觉醒碎片,,41,config/portrait/jinglingtouxiang/img_15_dzf@.png,用于提升大针蜂的Z觉醒养成,用于提升大针蜂的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50051,波波·Z觉醒碎片,,51,config/portrait/jinglingtouxiang/img_16_bb@.png,用于提升波波的Z觉醒养成,用于提升波波的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50061,小拉达·Z觉醒碎片,,61,config/portrait/jinglingtouxiang/img_19_xld@.png,用于提升小拉达的Z觉醒养成,用于提升小拉达的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50071,烈雀·Z觉醒碎片,,71,config/portrait/jinglingtouxiang/img_21_lq@.png,用于提升烈雀的Z觉醒养成,用于提升烈雀的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50081,阿柏蛇·Z觉醒碎片,,81,config/portrait/jinglingtouxiang/img_23_abs@.png,用于提升阿柏蛇的Z觉醒养成,用于提升阿柏蛇的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50091,皮丘·Z觉醒碎片,,91,config/portrait/jinglingtouxiang/img_172_pq@.png,用于提升皮丘的Z觉醒养成,用于提升皮丘的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50101,穿山鼠·Z觉醒碎片,,101,config/portrait/jinglingtouxiang/img_27_css@.png,用于提升穿山鼠的Z觉醒养成,用于提升穿山鼠的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50111,尼多兰·Z觉醒碎片,,111,config/portrait/jinglingtouxiang/img_29_ndl@.png,用于提升尼多兰的Z觉醒养成,用于提升尼多兰的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50121,尼多朗·Z觉醒碎片,,121,config/portrait/jinglingtouxiang/img_32_ndl@.png,用于提升尼多朗的Z觉醒养成,用于提升尼多朗的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50131,皮宝宝·Z觉醒碎片,,131,config/portrait/jinglingtouxiang/img_173_pbb@.png,用于提升皮宝宝的Z觉醒养成,用于提升皮宝宝的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50143,阿罗拉六尾·Z觉醒碎片,,143,config/portrait/jinglingtouxiang/img_37_alllw@.png,用于提升六尾的Z觉醒养成,用于提升六尾的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50151,宝宝丁·Z觉醒碎片,,151,config/portrait/jinglingtouxiang/img_174_bbd@.png,用于提升宝宝丁的Z觉醒养成,用于提升宝宝丁的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50161,超音蝠·Z觉醒碎片,,161,config/portrait/jinglingtouxiang/img_41_cyf@.png,用于提升超音蝠的Z觉醒养成,用于提升超音蝠的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50171,走路草·Z觉醒碎片,,171,config/portrait/jinglingtouxiang/img_43_zlc@.png,用于提升走路草的Z觉醒养成,用于提升走路草的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50191,毛球·Z觉醒碎片,,191,config/portrait/jinglingtouxiang/img_48_mq@.png,用于提升毛球的Z觉醒养成,用于提升毛球的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
