变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,buffFlag,iconShowType,roundInherit,spineEffect,skinEffect,extraOverlayLimit,pointEffect,effectViewArgs,delRefreshMode,rayEffect
默认值,,,,,buff1,,,1,0,101,0,<>,<>,<>,0,999999,,TRUE,"""""",0,"""""",<effect_loop>,{type=0},0,0,1,{y=0;x=0},FALSE,"""""",effect,0,0,,{y=0;x=0},FALSE,,,{},,12,,,,0,<>,,,1,1,{},FALSE,,,,FALSE,<>,FALSE,<>,,,<>,<0;10>,{wave=1;gameEnd=0},{},{},{},,{},<0;1>,
ID,名字,效果类型备注,资质,策划备注,直接触发效果，不需要用节点控制的，buff添加上时就会直接触发。格式：funcName。比如填加某项属性，可以直接写属性的名字，在process中填写对应的值。,效果类型（负面，增益，控制，触发器，标记buff，恢复类，功能类，特殊）,功能（常规，特殊-不可被驱散，复制，转移，转化，识别等等，未分组，功能）,buff添加时刻，1:在技能开始前添加;2:在技能释放完后添加,buff所属组,buff权限组（buff是否能被驱散，是否能被免疫，是否能被转移，是否能被复制……）,是否无视控制率,免疫ID,驱散ID,<1;2;1> 参数1：类型  参数2：类型对应的个数  驱散类型：1.按照“buff”个数去驱散； 2.按照“buff组”个数去驱散 3.驱散的层数默认为0 （0:全部驱散）,叠加覆盖规则，是同cfgId的buff自身叠加,叠加上限(只对叠加覆盖规则2生效),皮肤,显示总开关，FALSE的时候毛都看不到,血条上的小图标资源，不填不显示。同cfgId的buff，能叠加的会自动折叠在一起,是否显示图标外框,挂在目标身上的特效资源路径,特效资源对应的动作名,特效资源对应的类型。0.默认 1.层数,光效路径播放延迟,光效特效位置点0-角色K点;1-头顶;2-受击中点;3-己方阵营中心;4-敌方阵营中心;5-双放阵营中心,0.背景层 1.角色层 2.角色层不跟随角色 3.大招特效层 4.特效层,光效特效位置点偏移,攻击方是否显示技能特效,一次性特效资源路径,一次性特效动作名,一次性特效延迟播放,一次性特效位置点0-角色K点;1-头顶;2-受击中点;3-场景中央;4-固定站位;5-己方阵营中心 6-敌方阵营中心,一次性特效指定层级0-背景层;1-大招特效层;2-游戏层;3-特效层,一次性特效位置点偏移,一次性特效等待播放结束,链接特效配置{effectRes = 'buff/lianjie/hero_yipeiertaer.skel';aniName =  'effect_lianjiexian_loop'; deep = 12; offsetPos = {'x'=0;'y'=0}},buff结束时播放特效，格式为{res=xxx;aniName=yyy},作用于BUFF持有者的一些程序实现的表现效果。目前只有暂停动作一种，后续可能扩展,显示的文字资源路径，比如 “狂暴+++++++++”,深度修正,同时刻触发时，触发的顺序优先级，值越小越早执行。目前几种特殊类型的buff：1-无敌，2-护盾，3-98随意 ，99 - 直接伤害，100-回怒气。这个值不填写时，生成buff的优先级默认值为 10 。,用于特殊id的特殊值,特殊目标选择,强制加上buff，可以无视holder的状态，比免疫优先级低,当前buff被cast时，是否要无视掉caster的状态（离场等）,触发行为，是包括后面的一系列触发节点控制的。格式：<{nodeInfoxxxx};xxxx}>。 数据来自于辅助表sheet1中。,buff的使用限制次数，主要用于在某些战斗中，只能存在特定次数的情况。(暂时先不增加，这个会和后面的触发次数有点矛盾),生命周期计算时机判断: 1-小回合时;2-大回合时;3-不受额外回合影响的小回合时,buff生命周期的结束的时间点， 0:代表回合开始前结束， 1:回合结束后结束,收到该buff之后目标的变色,波次切换不删除,王者全场触发次数,buff的使用次数限制，（type表示用哪一种模式：<1-单位，2-阵营>，scenes填写gate类型表示在某个固定玩法中生效，limit表示次数，absForce表示绝对位置：1是左边，2是右边）,默认不填，需要不删除的buff填1,是否显示探险器特效,探险器特效对应ID,是否显示携带道具特效,携带道具ID,buff特殊的动作动画,场景对应stage,新增,新增,新增,新增,新增皮肤特效单独设置,新增,新增,新增,新增,新增
,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861162,,,,,,,,,,,,,,,,1,,,battle/buff_icon/logo_te.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zf.png,,,,,,,"{1={triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=self:specialDamage()*(target2:hasBuff(861131) and 0.2 or 0.1);cfgId=861163;caster=2;bond=1;holder=1;lifeRound=1;prob=1}>;<{value=self:specialDefence()*(target2:hasBuff(861131) and 0.2 or 0.1);cfgId=861164;caster=2;bond=1;holder=1;lifeRound=1;prob=1}>>};2={triggerPoint=2;effectFuncs=<castBuff>;funcArgs=<<{value=self:specialDamage()*0.3;caster=2;holder={input=selfForce()|nodead;process=hpRatioMin};cfgId=861165;prob=moreE(self:star(),8) and 1 or 0;lifeRound=1}>>}}",,2,,,,,,,,,,,,,,<0;20>,,,,,,,,
861163,,,,,specialDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
861164,,,,,specialDefence,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
861165,,,,,addHP,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0={triggerPoint=1};1={triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{value=500;caster=2;holder=1;cfgId=861166;prob=self:flagZ4() and 1 or 0;lifeRound=2}>>};2={triggerPoint=21;effectFuncs=<castBuff>;funcArgs=<<{value=500;caster=2;holder=1;cfgId=861166;prob=self:flagZ4() and 1 or 0;lifeRound=2}>>}},,,,,,,,,,,,,,,<2031>,,,,,,,,,
861166,,,,,beHealAdd,,,,,201,,,,,2,6,,,battle/buff_icon/logo_zlxg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlxgtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869801,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1={triggerPoint=1;effectFuncs=<castBuff;castBuff;castBuff;castBuff>;funcArgs=<<{value=(3000+max((fromSkillLevel-100),0)*50);caster=2;holder=1;cfgId=869802;prob=1;lifeRound=999}>;<{value=target2:speed()*0.3;caster=2;holder=13;cfgId=869808;prob=1;lifeRound=999}>;<{value=(1000+max((fromSkillLevel-100),0)*100);caster=2;holder=13;cfgId=869809;prob=more(fromSkillLevel,100)  and 1 or 0;lifeRound=999}>;<{value=(max((fromSkillLevel-100),0)*30);caster=2;holder=1;cfgId=869810;prob=1;lifeRound=999}>>};2={triggerPoint=4;effectFuncs=<castBuff>;funcArgs=<<{value=max(self:damage(),self:specialDamage())*(0.25+max((fromSkillLevel-100),0)*0.04);caster=2;holder=13;cfgId=869803;prob=more(fromSkillLevel,100)  and 1 or 0;lifeRound=1}>>};3={triggerPoint=10;effectFuncs=<castBuff;castBuff;castBuff;castBuff>;funcArgs=<<{value=self:Bdamage()*(0.05+max((fromSkillLevel-100),0)*0.006);caster=2;holder=1;cfgId=869804;prob=more(fromSkillLevel,100)  and 1 or 0;lifeRound=2}>;<{value=self:BspecialDamage()*(0.05+max((fromSkillLevel-100),0)*0.006);caster=2;holder=1;cfgId=869805;prob=more(fromSkillLevel,100)  and 1 or 0;lifeRound=2}>;<{value=(100+max((fromSkillLevel-100),0)*20);caster=2;holder=1;cfgId=869806;prob=more(fromSkillLevel,100)  and 1 or 0;lifeRound=2}>;<{value=(100+max((fromSkillLevel-100),0)*20);caster=2;holder=1;cfgId=869807;prob=more(fromSkillLevel,100)  and 1 or 0;lifeRound=2}>>}}",,,,,,,,1,,,,,,,,,,,,,,,,
869802,,,,,finalDamageAdd,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shtg.png,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
869803,,,,,buffDamage,,,2,10304,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=3008;damageType=2;natureType=8}>,,1,<1>,,,,,,,,,,,,,,,,<4008>,,,,,,,,,
869804,,,,,damage,,,2,,,,,,,6,999,,,battle/buff_icon/logo_wg_up.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
869805,,,,,specialDamage,,,2,,,,,,,6,999,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
869806,,,,,strike,,,2,,,,,,,6,999,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
869807,,,,,strikeDamage,,,2,,,,,,,6,999,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
869808,,,,,speed,,,,10081,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdjd.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869809,,,,,mp1Recover,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqhfjd.png,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
869810,,,,,immuneControlVal,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
