变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
默认值,,0,1,,,{},,99,,<>,<>,<1>,{},<>,,
ID,技能过程名功能备注(程序不读取，策划使用),目标类型(1友方0敌方),技能伤害目标(目标位置),阵营,在input下的目标类型,公式选择目标，优先级高于process，{process={key=self:hasBuff(54214); value=<hpRatioMax;hpRatioMin>}},单个特殊目标位置选择(填写1和8时，过程段只能写一段)(target查找参数),随机目标上限(target查找参数),固定位置(target查找参数),触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,effect_event对应ID,下一个过程段
,,,,,,,,,,,,,,,,
,skill_process_2,,,,,,,,,,,,,,,
408236,,,,enemyForce|nodead,"attr(""hp"",""min"",1)",,,,,<4081144;4081141;4081142;4081143>,<1;1;1;1>,"<moreE(self:star(),11) and 1 or 0;moreE(self:star(),11) and 1 or 0;moreE(self:star(),11) and 1 or 0;moreE(self:star(),11) and 1 or 0>",,"<0;-0.3*self:defence();-1500;self:damage()*2.4*(self:hasBuff(4081131) and 1.15 or 1)*(less(target:hp()/target:hpMax(),0.5) and (1.1+skillLevel*0.0015-0.0015) or 1)>",,
408237,,,,enemyForce|nodead,"buffDifferExclude('id',{4081144})|random(1)",,,,,<4081141;4081142;4081143>,<1;1;1>,"<self:flagZ3() and (less(self:getBuffOverlayCount(4081145),2) and 1 or 0) or 0;self:flagZ3() and (less(self:getBuffOverlayCount(4081145),2) and 1 or 0) or 0;self:flagZ3() and (less(self:getBuffOverlayCount(4081145),2) and 1 or 0) or 0>",,"<-0.1*target:defence();-1500;self:damage()*2.4*(self:hasBuff(4081131) and 1.15 or 1)*(less(target:hp()/target:hpMax(),0.5) and (1.1+skillLevel*0.0015-0.0015) or 1)>",,
408238,,1,14,,,,,,,<4081145;4081151>,<999;999>,<self:flagZ3() and 1 or 0;self:flagZ3() and 1 or 0>,,<0;0>,,
408261,,1,14,,,,,,,<4081161;4081171>,<999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),6) and 1 or 0>",,<0;<0>>,,
408262,,,,selfForce|nodead,"battleFlagDiffer('battleFlag', {1200})",,,,,<4081175;4081176>,<999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),6) and 1 or 0>",,<target:Bdamage()*0.05;500>,,
408263,,1,14,,,,,,,<4081181>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<0>,,
