变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs,__version
默认值,,0,1,,,{},,99,,<>,<>,<1>,{},<>,,,
ID,技能过程名功能备注(程序不读取，策划使用),目标类型(1友方0敌方),技能伤害目标(目标位置),阵营,在input下的目标类型,公式选择目标，优先级高于process，{process={key=self:hasBuff(54214); value=<hpRatioMax;hpRatioMin>}},单个特殊目标位置选择(填写1和8时，过程段只能写一段)(target查找参数),随机目标上限(target查找参数),固定位置(target查找参数),触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,effect_event对应ID,下一个过程段,__version
111,,,,,,,,,,,,,,,111,,
112,,1,14,,,,,,,<1225>,<2>,<self:flagZ1() and 1 or 0>,,<500>,,,
121,,,,,,,,,,,,,,,121,,
122,,,,,,,,,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,,<0>,,,
123,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,131,,
132,,,,,,,,,,,,,,,132,,
133,,1,11,,,,,,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",,<self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002);(self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002))*(self:flagZ3() and 2 or 1)>,,,
134,,1,11,,,,,,,,,,,,,,
161,,,,selfForce | nodead,random(1),,,,,<1313>,<3>,<1>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,,
162,,1,14,,,,,,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,,
211,,,,,,,,,,,,,,,211,,
212,,1,14,,,,,,,<1225>,<2>,<self:flagZ1() and 1 or 0>,,<500>,,,
221,,,,,,,,,,,,,,,221,,
222,,,,,,,,,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,,<0>,,,
223,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,231,,
232,,,,,,,,,,,,,,,232,,
233,,1,11,,,,,,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",,<self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002);(self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002))*(self:flagZ3() and 2 or 1)>,,,
234,,1,11,,,,,,,,,,,,,,
261,,,,selfForce | nodead,random(1),,,,,<1313>,<3>,<1>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,,
262,,1,14,,,,,,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,,
311,,,,,,,,,,,,,,,311,,
312,,1,14,,,,,,,<1225>,<2>,<self:flagZ1() and 1 or 0>,,<500>,,,
321,,,,,,,,,,,,,,,321,,
322,,,,,,,,,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,,<0>,,,
323,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,331,,
332,,,,,,,,,,,,,,,332,,
333,,1,11,,,,,,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));(self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0)))*(self:flagZ3() and 2 or 1)>",,,
334,,1,11,,,,,,,,,,,,,,
361,,,,selfForce | nodead,random(1),,,,,<1313>,<3>,<1>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,,
362,,1,14,,,,,,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,,
411,,,,,,,,,,,,,,,411,,
412,,1,14,,,,,,,<1411>,<2>,<1>,,<0>,,,
413,,1,14,,,,,,,<1415>,<1>,<self:flagZ1() and 1 or 0>,,<(self:specialDefence()+self:defence())*1>,,,
421,,,,,,,,,,,,,,,421,,
422,,1,14,,,,,,,<1421>,<2>,<1>,,<500>,,,
423,,,,,,,,,,<1425;1425>,<3;3>,<1;self:flagZ2() and 1 or 0>,,<self:specialDamage()*0.3;self:specialDamage()*0.3>,,,
431,,,4,,,,,,,,,,,,431,,
432,,,4,,,,,,,,,,,,432,,
433,,1,14,,,,,,,<1431;1431>,<1;1>,"<moreE(self:star(),11) and 0 or 1;moreE(self:star(),11) and 1 or 0>",,<(self:specialDefence()+self:defence())*0.01*(150+skillLevel*0.3-0.3);((self:specialDefence()+self:defence())*0.01*(150+skillLevel*0.3-0.3))*1.2>,,,
434,,1,14,,,,,,,<1438>,<999>,<self:flagZ3() and (self:hasBuff(1438) and 0 or 1) or 0>,,<0>,,,
435,,,,mainTarget,,,,,,<1432>,"<self:flagZ3() and (lessE(self:getBuffOverlayCount(1438),3) and 2 or 1) or 1>",<1>,,<0>,,,
436,,,,enemyForce|nodead,otherProcessExcept(434)|random(1),,,,,<1432;1425>,"<self:flagZ3() and (lessE(self:getBuffOverlayCount(1438),3) and 2 or 1) or 1;3>",<self:flagZ3() and 1 or 0;self:flagZ3() and 1 or 0>,,<0;self:specialDamage()*0.3>,,,
461,,,,,,,,,,<1451>,<999>,<1>,,<0>,,,
462,,1,14,,,,,,,<1461;1465>,<999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),6) and 1 or 0>",,<0;<2;99;1>>,,,
463,,1,14,,,,,,,<1471>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<0>,,,
464,,1,14,,,,,,,<1481>,<999>,<self:flagZ4() and 1 or 0>,,<0>,,,
1111,,,,,,,,,,,,,,,1111,,
1112,,1,14,,,,,,,<11226>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDamage()*0.1>,,,
1121,,,,,,,,,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,,<self:specialDamage()*0.3>,1121,,
1122,,1,14,,,,,,,,,,,,,,
1123,,1,14,,,,,,,<11226;11227>,<2;2>,<1;1>,,<self:specialDamage()*0.1;self:speed()*0.1>,,,
1131,,,4,,,,,,,,,,,,1131,,
1132,,,4,,,,,,,,,,,,1132,,
1133,,,4,,,,,,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",,<self:specialDamage()*0.3;self:specialDamage()*0.3>,,,
1134,,,11,,,,,,,<11228>,<2>,<self:flagZ3() and 1 or 0>,,<self:specialDamage()*0.3>,,,
1161,,1,14,,,,,,,<11225>,<999>,<1>,,<0>,,,
1211,,,,,,,,,,,,,,,1211,,
1212,,1,14,,,,,,,<11226>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDamage()*0.1>,,,
1221,,,,,,,,,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,,<self:specialDamage()*0.3>,1221,,
1222,,1,14,,,,,,,,,,,,,,
1223,,1,14,,,,,,,<11226;11227>,<2;2>,<1;1>,,<self:specialDamage()*0.1;self:speed()*0.1>,,,
1231,,,4,,,,,,,,,,,,1231,,
1232,,,4,,,,,,,,,,,,1232,,
1233,,,4,,,,,,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",,<self:specialDamage()*0.3;self:specialDamage()*0.3>,,,
1234,,,11,,,,,,,<11228>,<2>,<self:flagZ3() and 1 or 0>,,<self:specialDamage()*0.3>,,,
1261,,1,14,,,,,,,<11225>,<999>,<1>,,<0>,,,
1311,,,,,,,,,,,,,,,1311,,
1312,,1,14,,,,,,,<11226>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDamage()*0.1>,,,
1321,,,,,,,,,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,,<self:specialDamage()*0.3>,1321,,
1322,,,,,,,,,,,,,,,1322,,
1323,,1,14,,,,,,,<11226;11227>,<2;2>,<1;1>,,<self:specialDamage()*0.1;self:speed()*0.1>,,,
1324,,,4,,,,,,,,,,,,,,
1331,,,4,,,,,,,,,,,,1331,,
1332,,,4,,,,,,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",,<self:specialDamage()*0.3;self:specialDamage()*0.3>,1332,,
1333,,,11,,,,,,,<11228>,<2>,<self:flagZ3() and 1 or 0>,,<self:specialDamage()*0.3>,,,
1334,,1,14,,,,,,,,,,,,,,
1361,,1,14,,,,,,,<11225>,<999>,<1>,,<0>,,,
1411,,,,,,,,,,,,,,,1411,,
1412,,1,14,,,,,,,<11411>,<2>,<self:flagZ1() and 0 or 1>,,<500>,,,
1413,,1,14,,,,,,,<11412>,<2>,<self:flagZ1() and 1 or 0>,,<1000>,,,
1421,,,,,,,,,,,,,,,1421,,
1422,,1,14,,,,,,,<11421>,<1>,<1>,,"<random(0.5,2)*1000>",,,
1423,,,,,,,,,,<11422>,<2>,<1>,,<self:damage()*0.4>,,,
1424,,1,14,,,,,,,<11471>,<1>,<self:flagZ2() and 1 or 0>,,<0>,,,
1431,,,4,,,,,,,,,,,,1431,,
1432,,,4,,,,,,,,,,,,1432,,
1433,,,4,,,,,,,<11436>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<self:damage()*0.4>,,,
1434,,1,14,,,,,,,<11431>,<1>,<1>,,<self:strike()*(0.05+0.0001*skillLevel-0.0001)>,,,
1435,,1,14,,,,,,,<11432>,<1>,<1>,,<0>,,,
1436,,,,enemyForce|nodead,exclude(list(csvSelectObj:id()))|random(2),,,,,<11437>,<1>,<self:flagZ3() and self:curSkill():getDamageState('strike') and 1 or 0>,,<0>,,,
1461,,1,14,,,,,,,<11461>,<1>,<target:hasBuffGroup(c.zhuoshao_oc()) and 1 or 0>,,<self:strike()*(0.1+0.0001*skillLevel-0.0001)>,,,
1462,,1,14,,,,,,,<11462>,<999>,"<moreE(self:star(),6) and 1 or 0>",,<0>,,,
1463,,1,14,,,,,,,<11465>,<1>,"<moreE(self:star(),8) and 1 or 0>",,<0>,,,
1464,,1,14,,,,,,,<11466>,<999>,<self:flagZ4() and 1 or 0>,,<0>,,,
1511,,,,,,,,,,,,,,,1511,,
1512,,1,14,,,,,,,<15111>,<2>,<self:flagZ1() and 1 or 0>,,<self:Bspeed()*0.03>,,,
1521,,,,,,,,,,,,,,,1521,,
1522,,,,,,,,,,<15211>,<2>,<1>,,<self:specialDamage()*0.4>,,,
1523,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|setSelectAttr({""damage"",""specialDamage""},""max"")|attrDiffer(""natureType"", {2})|random(csvSelf:flagZ2() and 2 or 1)",,,,,<15212>,<1>,<1>,,<1>,,,
1531,,,4,,,,,,,,,,,,1531,,
1532,,,4,,,,,,,,,,,,1532,,
1533,,,4,,,,,,,<15311>,<2>,<1>,,<1>,,,
1534,,,4,,,,,,,<15211;15211>,<2;2>,<self:flagZ3() and 1 or 0;self:flagZ3() and 0.5 or 0>,,<self:specialDamage()*0.4;self:specialDamage()*0.4>,,,
1535,,,4,,,,,,,<15321>,<2>,<1>,,<1>,,,
1536,,,4,,,,,,,<15331>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<1>,,,
1537,,1,11,,,,,,,<15341>,<2>,"<(target:natureIntersection(list(10)) and moreE(self:star(),11))  and 1 or 0>",,<target:Bspeed()*0.06>,,,
1561,,1,14,,,,,,,<15611>,<999>,<1>,,<1>,,,
1562,,1,14,,,,,,,<15621;15631;15641>,<999;999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),6) and 1 or 0;moreE(self:star(),8) and 1 or 0>",,<1;1;1>,,,
1563,,1,14,,,,,,,<15651;15652>,<999;999>,<self:flagZ4() and 1 or 0;self:flagZ4() and 1 or 0>,,<1;1>,,,
2111,,,,,,,,,,,,,,,2111,,
2112,,1,14,,,,,,,<21230>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDefence()*0.2>,,,
2121,,,,,,,,,,,,,,,2121,,
2122,,1,14,,,,,,,<21221>,<2>,<self:flagZ2() and 0 or 1>,,<self:specialDefence()*2>,,,
2123,,1,2,,,,,,,<21221>,<2>,<self:flagZ2() and 1 or 0>,,<self:specialDefence()*2>,,,
2131,,,2,,,,,,,,,,,,2131,,
2132,,,2,,,,,,,,,,,,2132,,
2133,,1,11,,,,,,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:natureIntersection(list(3))) and 1 or 0>",,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,,
2161,,1,11,,,,,,,<21225;21226>,<999;999>,<1;1>,,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,,
2162,,1,14,,,,,,,<21228>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<1>,,,
2163,,1,11,,,,,,,<21228>,<999>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",,<1>,,,
2200,,,4,,,,,,,,,,,,198232,,
2211,,,,,,,,,,,,,,,2211,,
2212,,1,14,,,,,,,<21230>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDefence()*0.2>,,,
2221,,,,,,,,,,,,,,,2221,,
2222,,1,14,,,,,,,<21221>,<2>,<self:flagZ2() and 0 or 1>,,<self:specialDefence()*2>,,,
2223,,1,2,,,,,,,<21221>,<2>,<self:flagZ2() and 1 or 0>,,<self:specialDefence()*2>,,,
2231,,,2,,,,,,,,,,,,2231,,
2232,,,2,,,,,,,,,,,,2232,,
2233,,1,11,,,,,,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:natureIntersection(list(3))) and 1 or 0>",,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,,
2261,,1,11,,,,,,,<21225;21226>,<999;999>,<1;1>,,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,,
2262,,1,14,,,,,,,<21228>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<1>,,,
2263,,1,11,,,,,,,<21228>,<999>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",,<1>,,,
2311,,,,,,,,,,,,,,,2311,,
2312,,1,14,,,,,,,<21230>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDefence()*0.2>,,,
2321,,,,,,,,,,,,,,,2321,,
2322,,1,14,,,,,,,<21221>,<2>,<self:flagZ2() and 0 or 1>,,<self:specialDefence()*2>,,,
2323,,1,2,,,,,,,<21221>,<2>,<self:flagZ2() and 1 or 0>,,<self:specialDefence()*2>,,,
2331,,,2,,,,,,,,,,,,2331,,
2332,,,2,,,,,,,,,,,,2332,,
2333,,1,11,,,,,,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:natureIntersection(list(3))) and 1 or 0>",,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,,
2361,,1,11,,,,,,,<21225;21226>,<999;999>,<1;1>,,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,,
2362,,1,14,,,,,,,<21228>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<1>,,,
2363,,1,11,,,,,,,<21228>,<999>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",,<1>,,,
2411,,,,,,,,,,,,,,,2411,,
2412,,1,14,,,,,,,<24111>,<2>,<1>,,<0>,,,
2413,,1,14,,,,,,,<24115>,<999>,<self:flagZ1() and 1 or 0>,,<(self:specialDefence()+self:defence())*0.25>,,,
2421,,,,,,,,,,,,,,,2421,,
2422,,,,,,,,,,<24121>,<1>,<self:flagZ2() and 0.75 or 0.5>,,<0>,,,
2423,,1,14,,,,,,,<24122>,<999>,<self:flagZ2() and 0 or 1>,,<(self:specialDefence()+self:defence())*0.5>,,,
2424,,,,selfForce|nodead,"attrDiffer(""natureType"", {3})|random(1)",,,,,<24125>,<999>,<self:flagZ2() and 1 or 0>,,<(self:specialDefence()+self:defence())*0.5>,,,
2431,,,2,,,,,,,,,,,,2431,,
2432,,,2,,,,,,,,,,,,2432,,
2433,,1,14,,,,,,,<24133;24131>,<999;1>,<1;1>,,<(self:specialDefence()+self:defence())*0.01*(15+skillLevel*0.1-0.1);1000>,,,
2434,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {3})",,,,,<24132;24131>,<999;1>,<1;1>,,<(self:specialDefence()+self:defence())*0.01*(15+skillLevel*0.1-0.1);1000>,,,
2435,,,2,,,,,,,<24141>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<0>,,,
2436,,1,14,,,,,,,<24142;24143>,<1;1>,"<moreE(self:star(),11) and 1 or 0;moreE(self:star(),11) and 1 or 0>",,<1000;2000>,,,
2437,,1,14,,,,,,,<24151;24155>,<1;1>,<self:flagZ3() and 1 or 0;self:flagZ3() and 1 or 0>,,<0;0>,,,
2461,,1,14,,,,,,,<24161;24168>,<999;999>,<1;1>,,<<0>;<0>>,,,
2462,,1,14,,,,,,,<24171>,<999>,<1>,,<0>,,,
2463,,1,14,,,,,,,<24181>,<999>,<1>,,<0>,,,
2464,,1,14,,,,,,,<24191;24191;24191;24193>,<999;999;999;999>,<self:flagZ4() and 1 or 0;self:flagZ4() and 1 or 0;self:flagZ4() and 1 or 0;self:flagZ4() and 1 or 0>,,<0;0;0;0>,,,
2710,,1,14,,,,,,,<1982401;1982404>,<2;2>,<1;1>,,<0;1000+500*(self:flagZ1() and 1 or 0)>,,,
3111,,,,,,,,,,,,,,,3111,,
3121,,,,,,,,,,,,,,,3121,,
3122,,,,,,,,,,<31221>,<1>,<1>,,<-target:speed()*0.6>,,,
3131,,,2,,,,,,,,,,,,3131,,
3132,,,2,,,,,,,,,,,,3132,,
3133,,,2,,,,,,,<31221>,<1>,<1>,,"<-target:speed()*(moreEqualThan(self:star(),11) and 1 or 0.4)>",,,
3156,,1,14,,,,,,,<1982441>,<999>,<1>,,<1>,,,
3161,,1,14,,,,,,,<31222;31223>,<999;1>,<1;1>,,<self:speed()*(5+skillLevel*0.05-0.05)*0.01;self:speed()*0.3>,,,
3311,,,,,,,,,,,,,,,3311,,
3321,,,,,,,,,,,,,,,3321,,
3322,,,,,,,,,,<31221>,<1>,<1>,,<-target:speed()*0.6>,,,
3331,,,2,,,,,,,,,,,,3331,,
3332,,,2,,,,,,,<31221>,<1>,<1>,,"<-target:speed()*(moreEqualThan(self:star(),11) and 1 or 0.4)>",,,
3361,,1,14,,,,,,,<31222;31223>,<999;1>,<1;1>,,<self:speed()*(5+skillLevel*0.05-0.05)*0.01;self:speed()*0.3>,,,
3921,,1,14,,,,,,,<1982341;1982345;1982369;1982370;1982372;1982374>,<999;999;999;999;999;999>,<1;1;1;1;1;1>,,<1;1;1;1;1;1>,,,
4311,,,,,,,,,,,,,,,4311,,
4321,,,,,,,,,,,,,,,4321,,
4322,,,,,,,,,,<43221>,<2>,<0.3>,,<self:damage()*0.1>,,,
4331,,,,,,,,,,,,,,,4331,,
4332,,,,,,,,,,<43222>,<2>,<1>,,"<moreEqualThan(self:star(),11) and -6000 or -4000>",,,
4361,,1,14,,,,,,,<43223>,<999>,<1>,,"<(10+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,,
4411,,,,,,,,,,,,,,,4411,,
4412,,1,14,,,,,,,<44228>,<2>,<self:flagZ1() and 1 or 0>,,<self:damage()*0.1>,,,
4421,,,,,,,,,,,,,,,4421,,
4422,,,,,,,,,,<44221;44223>,<3;self:flagZ2() and 3 or 2>,<1;1>,,<self:damage()*0.3;-4000>,,,
4431,,,,,,,,,,,,,,,4431,,
4432,,,,,,,,,,,,,,,4432,,
4433,,,,,,,,,,<44223>,<5>,<1>,,<-8000>,,,
4434,,,,,,,,,,<44225>,<1>,<1>,,<1>,,,
4461,,1,14,,,,,,,<44227>,<999>,<1>,,<1>,,,
5111,,,,,,,,,,,,,,,5111,,
5112,,1,14,,,,,,,<51225>,<2>,<self:flagZ1() and 1 or 0>,,<self:speed()*0.05>,,,
5121,,,,,,,,,,,,,,,5121,,
5122,,,,,,,,,,<51221>,<2>,<1>,,<-target:speed()*0.2>,,,
5123,,,,,,,,,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",,<-target:speed()*0.2>,,,
5131,,,,,,,,,,,,,,,5131,,
5132,,,,,,,,,,,,,,,5132,,
5133,,1,11,,,,,,,<51222>,<self:flagZ3() and 999 or 3>,<1>,,<target:speed()*((target:natureIntersection(list(10)) ) and 0.2 or 0.1)>,,,
5161,,1,14,,,,,,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,,
5211,,,,,,,,,,,,,,,5211,,
5212,,1,14,,,,,,,<51225>,<2>,<self:flagZ1() and 1 or 0>,,<self:speed()*0.05>,,,
5221,,,,,,,,,,,,,,,5221,,
5222,,,,,,,,,,<51221>,<2>,<1>,,<-target:speed()*0.2>,,,
5223,,,,,,,,,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",,<-target:speed()*0.2>,,,
5231,,,,,,,,,,,,,,,5231,,
5232,,,,,,,,,,,,,,,5232,,
